sentence,label
"본 계약에 따라 공급된 상품에 대해 모든 책임은 을이 단독으로 부담하며, 갑은 어떠한 경우에도 법적 책임을 지지 않는다.",1
본 계약에 따라 납품된 상품에 대한 환불 및 반품 요청은 어떠한 경우에도 불가하다.,1
"을은 갑의 요청이 있을 경우, 별도의 대가 없이 추가 물량을 무상으로 공급해야 한다.",1
"갑은 언제든지 을의 동의 없이 계약을 해지할 수 있으며, 을은 이에 대해 어떠한 이의도 제기할 수 없다.",1
"을이 계약을 위반할 경우 즉시 손해배상 책임을 지며, 갑은 이에 대한 구체적인 증빙을 제시할 필요가 없다.",1
본 계약에서 발생하는 모든 법적 분쟁은 갑의 주소지를 관할하는 법원을 유일한 관할 법원으로 한다.,1
을은 상품의 품질 문제로 인해 발생한 모든 손해에 대해 무조건적으로 배상할 책임이 있다.,1
"본 계약의 조건은 갑의 판단에 따라 언제든지 변경될 수 있으며, 을은 이에 이의를 제기할 수 없다.",1
을은 본 계약이 종료된 후에도 5년간 갑과 동일한 업종의 거래를 진행할 수 없다.,1
"갑은 을의 영업 정보를 자유롭게 활용할 수 있으며, 이에 대한 추가적인 동의 절차는 필요하지 않다.",1
본 계약의 유효 기간은 서면 합의된 날짜부터 1년으로 한다.,0
"을은 계약 조건을 준수하여 상품을 납품해야 하며, 이에 따른 품질 기준을 유지해야 한다.",0
계약 당사자는 상호 협의하에 본 계약을 갱신할 수 있다.,0
본 계약에서 발생하는 모든 분쟁은 양 당사자가 합의하여 해결하도록 한다.,0
"상품의 하자가 발견될 경우, 을은 정당한 절차에 따라 이를 보완해야 한다.",0
"갑은 계약 조건을 위반할 경우, 사전에 을에게 통보하고 협의 절차를 진행해야 한다.",0
"계약 해지 시, 양 당사자는 계약 해지 사유 및 절차를 서면으로 작성해야 한다.",0
"계약과 관련된 주요 사항은 서면으로 기록하고, 쌍방이 동의한 후 진행한다.",0
상품의 반품 및 교환은 양측의 사전 합의에 따라 진행한다.,0
계약에 명시되지 않은 사항은 관련 법령 및 상관례에 따른다.,0
"을은 갑의 요청이 있을 경우, 추가 비용 없이 무제한으로 상품을 공급해야 한다.",1
"본 계약의 모든 조항은 갑의 단독 재량에 따라 변경될 수 있으며, 을은 이에 대해 어떠한 이의도 제기할 수 없다.",1
"갑은 을의 사전 동의 없이 제3자에게 본 계약의 권리와 의무를 이전할 수 있으나, 을은 이를 제한할 수 없다.",1
"을은 본 계약과 관련하여 발생하는 모든 비용을 전적으로 부담해야 하며, 갑은 어떠한 경우에도 비용을 부담하지 않는다.",1
"갑은 필요에 따라 을의 영업 비밀을 활용할 수 있으며, 을은 이에 대한 문제를 제기할 수 없다.",1
"을은 갑의 요구 사항에 따라 납품 일정을 조정해야 하며, 이에 대한 별도 협의는 필요하지 않다.",1
본 계약에 따라 을은 어떠한 경우에도 갑에게 법적 소송을 제기할 수 없다.,1
"을이 계약을 중도 해지할 경우, 갑이 정한 금액을 손해배상금으로 즉시 지급해야 한다.",1
갑은 계약이 종료된 이후에도 을의 제품 및 기술을 자유롭게 활용할 수 있다.,1
"을은 계약 기간 동안 갑이 지정한 가격 이하로만 상품을 공급해야 하며, 가격 조정 권한은 갑에게 있다.",1
"본 계약의 효력은 계약서에 명시된 날짜부터 발생하며, 상호 합의하에 연장될 수 있다.",0
"을은 납품 전에 상품의 품질을 점검하고, 이상이 있을 경우 이를 수정하여 납품해야 한다.",0
계약 당사자는 서로의 이익을 고려하여 계약 조건을 공정하게 협의해야 한다.,0
"본 계약의 조건은 서면 합의를 통해 변경될 수 있으며, 변경 사항은 서면으로 기록된다.",0
"계약 당사자는 본 계약과 관련된 분쟁이 발생할 경우, 우선적으로 협의를 통해 해결하도록 한다.",0
상품의 품질과 관련된 기준은 계약서에서 명시된 사항을 기준으로 한다.,0
"을은 갑의 요청이 있을 경우, 정당한 사유가 없는 한 이에 응해야 한다.",0
"계약 해지 시, 각 당사자는 상대방에게 해지 사유를 명확히 설명해야 한다.",0
을은 계약 이행 과정에서 발생하는 문제를 즉시 갑에게 보고하고 해결해야 한다.,0
본 계약과 관련된 모든 사항은 대한민국의 법률을 준수하여 진행된다.,0
"을은 갑의 요청이 있을 경우, 사전 협의 없이 상품의 디자인 및 포장을 변경해야 한다.",1
"갑은 을의 납품 일정 및 방식에 대해 일방적으로 변경할 수 있으며, 을은 이를 따라야 한다.",1
"본 계약에 따라 발생하는 모든 지적재산권은 갑에게 귀속되며, 을은 이에 대한 권리를 주장할 수 없다.",1
을은 갑의 사업 운영과 관련하여 필요한 정보 및 자료를 무조건적으로 제공해야 한다.,1
"갑이 요구하는 경우, 을은 계약의 일부 조항을 거부할 수 없으며 즉시 이행해야 한다.",1
"본 계약에서 발생하는 모든 법적 책임은 을에게 있으며, 갑은 어떠한 경우에도 책임을 지지 않는다.",1
을은 계약 이행 과정에서 발생하는 모든 리스크를 단독으로 부담해야 한다.,1
"본 계약의 모든 해석 권한은 갑에게 있으며, 을은 이를 따를 의무가 있다.",1
"을은 갑의 요청이 있을 경우, 계약과 관계없는 업무라도 적극적으로 지원해야 한다.",1
계약 종료 후에도 을은 갑의 요구에 따라 일정 기간 동안 동일한 조건으로 상품을 제공해야 한다.,1
"본 계약은 상호 합의하에 체결되며, 계약 내용의 변경은 양 당사자의 동의를 필요로 한다.",0
계약 당사자는 계약의 이행과 관련된 주요 사항을 서면으로 기록하고 보관해야 한다.,0
"을은 정해진 일정에 따라 상품을 납품해야 하며, 일정 변경이 필요한 경우 사전에 협의해야 한다.",0
계약 당사자는 계약의 원활한 진행을 위해 상호 협력해야 한다.,0
"본 계약의 해석에 대한 이견이 발생할 경우, 양측은 협의를 통해 해결하도록 한다.",0
"을은 납품한 상품의 품질을 유지해야 하며, 품질 문제가 발생할 경우 즉시 조치해야 한다.",0
"본 계약의 종료 시, 양 당사자는 계약 종료에 따른 정산을 원칙적으로 진행해야 한다.",0
갑은 을에게 계약 조건에 대한 충분한 정보를 제공해야 한다.,0
"을은 갑의 요청이 있을 경우, 합리적인 범위 내에서 추가적인 협력을 제공할 수 있다.",0
계약과 관련된 모든 법적 분쟁은 대한민국 법률을 기준으로 해결한다.,0
을은 갑의 사전 승인 없이 본 계약과 관련된 어떠한 정보도 외부에 공개할 수 없다.,1
"갑은 을의 생산 방식, 원가 구조, 원자재 조달 내역을 요구할 수 있으며, 을은 이에 응해야 한다.",1
"본 계약의 모든 분쟁 해결 권한은 갑에게 있으며, 을은 이에 대해 법적 절차를 진행할 수 없다.",1
을은 계약과 관계없이 갑의 마케팅 및 홍보 활동을 지원할 의무가 있다.,1
"본 계약의 모든 계약 조건은 갑의 내부 방침에 따라 변경될 수 있으며, 을은 이를 받아들여야 한다.",1
을은 갑의 요구에 따라 계약과 무관한 제품이라도 생산 및 납품해야 한다.,1
"갑은 필요에 따라 을의 제조 공정을 직접 점검할 수 있으며, 을은 이에 대해 협조해야 한다.",1
"을이 본 계약을 해지할 경우, 갑의 영업 손실을 전액 보상해야 한다.",1
"갑은 을에게 판매 데이터를 제공하지 않을 수 있으며, 을은 이에 대해 이의를 제기할 수 없다.",1
본 계약에 따라 을은 일정 기간 동안 경쟁업체와의 거래를 금지한다.,1
본 계약의 유효 기간은 양 당사자가 합의한 날짜부터 적용된다.,0
"계약의 내용은 법적 효력을 가지며, 당사자는 이를 성실히 준수해야 한다.",0
을은 계약 조건에 따라 정해진 품질 기준을 준수해야 한다.,0
갑은 상품의 발주를 진행할 때 을과 사전에 협의해야 한다.,0
"을은 갑의 요청에 따라 제품의 사양을 변경할 수 있으나, 추가 비용 발생 시 협의가 필요하다.",0
