sentence,label,article
갑은 계약 체결 후 거래 조건에 대한 구체적인 내용을 별도의 서면으로 제공하지 않을 수 있다.,1,6 
"본 계약의 거래 형태는 구체적으로 명시되지 않았으며, 필요 시 갑이 결정하는 대로 진행한다.",1,6 
갑은 계약 체결 후 주요 계약 조건을 별도 요청 시에만 서면으로 제공한다.,1,6 
"본 계약서에는 일부 거래 조건이 포함되지 않을 수 있으며, 이는 갑의 재량에 따른다.",1,6 
거래 조건 변경이 필요한 경우 갑의 구두 통지로 이를 대체할 수 있다.,1,6 
계약 체결 즉시 서면 제공 의무는 해당 상황에 따라 유예될 수 있다.,1,6 
"거래 형태는 본 계약의 부속 서류에 포함될 수 있으며, 이는 별도로 제공하지 않을 수 있다.",1,6 
계약서에 명시된 내용 외의 추가 조건은 갑의 결정에 따라 구두로 전달된다.,1,6 
갑은 계약 체결 후 서면으로 제공해야 하는 세부 사항을 별도로 제공하지 않을 권리를 가진다.,1,6 
본 계약의 일부 내용은 갑의 재량에 따라 별도의 문서로 제공되지 않을 수 있다.,1,6 
갑은 본 계약 체결 시 거래 형태 및 주요 조건을 포함한 서면을 을에게 제공한다.,0,6 
본 계약은 대통령령으로 정한 계약 사항이 포함된 서면으로 체결된다.,0,6 
갑은 을에게 계약 체결 즉시 거래 조건이 명시된 문서를 교부한다.,0,6 
"본 계약의 서면에는 거래 형태와 조건이 명확히 기재되어 있으며, 을에게 제공된다.",0,6 
본 계약의 모든 사항은 대통령령에 따라 명시적으로 기재된 문서를 통해 을에게 전달된다.,0,6 
갑은 을과 체결한 계약의 주요 내용을 포함한 서면을 계약 체결 시 즉시 교부한다.,0,6 
"계약 내용은 서면으로 을에게 제공되며, 이는 전자문서를 포함할 수 있다.",0,6 
본 계약의 거래 형태 및 조건은 법률에 따라 을에게 문서 형태로 제공된다.,0,6 
갑은 계약 체결과 동시에 을에게 주요 계약 조건을 포함한 서면을 제공한다.,0,6 
"거래 조건은 서면 형태로 을에게 교부되며, 대통령령에 따른 모든 사항이 포함된다.",0,6 
갑은 을과 계약 체결 후 서면 없이 상품 제조를 요구할 수 있다,1,6 
갑은 을에게 계약 내용을 서면으로 전달하지 않고 주문을 진행할 수 있다,1,6 
갑은 서면 계약 없이 을에게 상품 납품을 강요할 수 있다,1,6 
갑은 을의 서면 요청을 무시하고 계약을 체결할 수 있다,1,6 
갑은 계약 내용을 서면으로 통지하지 않고 구두로만 계약을 진행할 수 있다,1,6 
갑은 을과의 계약 사항을 기록하지 않고 보존하지 않을 수 있다,1,6 
갑은 을에게 서면 없이 설비 준비를 요구할 수 있다,1,6 
갑은 을의 계약 내용 확인 요청을 회신 없이 무시할 수 있다,1,6 
갑은 서면 교부 없이 계약을 진행하고 을에게 불이익을 줄 수 있다,1,6 
갑은 계약 종료 후 관련 서류를 보존하지 않을 수 있다,1,6 
갑은 을과 계약 시 반드시 서면으로 계약 내용을 제공한다,0,6 
갑은 을과 계약 체결 즉시 계약 사항이 명시된 서면을 제공한다,0,6 
갑은 계약 내용을 서면으로 작성하고 을의 확인을 받는다,0,6 
갑은 계약 후 을에게 상품 제조나 설비 준비를 요구하지 않는다,0,6 
갑은 계약 내용을 서면으로 통지하고 을과 합의한다,0,6 
갑은 을의 요청에 따라 계약 내용을 서면으로 확인시킨다,0,6 
갑은 을과의 계약 내용을 5년간 보존한다,0,6 
