input,summary
"제1조 [목적] 이 계약서의 작성 목적은 “갑”과 “을” 간 프리미엄 화장품의 직매입거래 (“갑”이 “을”로부터 상품을 매입하여 면세점에서 판매하며, 일정 기간 내 판 매되지 아니한 상품에 대한 판매책임을 부담하는 형태의 거래를 말한다)에서 양  당사자 사이의 기본적인 권리와 의무를 정하기 위함에 있다.","제1조 [목적] 이 계약서의 목적은 ""갑""과 ""을"" 간 상품 직매입 거래에 대한 기본적인 권리와 의무를 설정하는 것이다."
"제2조 [기본원칙] ① “갑”과 “을”은 상호이익을 존중하고 이 계약상 의무를 신의에 따라 성실 히 이행함으로써 상호 공정한 거래관계와 동반성장을 추구한다. ② “갑”과 “을”은 이 계약의 이행과 관련하여 『대규모유통업에서의 거래 공 정화에 관한 법률』 및 그 시행령, 『화장품법』, 『소비자기본법』 등 관련 법령 의 규정을 준수한다. ③ “을”이 해외 명품 화장품 브랜드를 보유하는 등 “갑”이 “을”에 대하여  거래상 우월적 지위에 있다고 인정되지 아니할 경우에는 이 표준거래계약서의 내 용을 거래 현실에 맞게 수정하여 사용할 수 있다.","제2조 [기본원칙] ""갑""과 ""을""은 상호이익을 존중하며, 계약 의무를 성실히 이행하고 공정한 거래와 동반성장을 추구하며, 계약 이행 시 관련 법령을 준수하고, ""을""이 우월적 지위에 없을 경우 계약 내용을 거래 현실에 맞게 수정할 수 있다."
"제3조 [공정거래 준수 및 동반성장 지원] ① “갑”과 “을”은 공정하고 투명한 거래를 위하여 다음 각 호의 내용을 준수 한다. 1. 상대방에게 금품, 향응, 편의 또는 접대를 요구하거나 제공해서는 아니 되며,  위법하거나 부당한 행위를 하지 아니한다. 2. 거래상 우월적 지위를 남용하여 공정한 거래질서에 반하는 행위를 요구하지 아 니한다. ② “갑”은 “을”과의 동반성장을 위하여 “을”의 재무건전화, 기술개발 촉진,   근무환경개선 등을 위한 다양한 지원프로그램을 마련하여 지원하는데 노력한다. ③ “갑”은 “을”이 국내외 시장에서 브랜드 경쟁력을 강화할 수 있도록 홍보  및 마케팅 지원 방안을 마련할 수 있으며, 이를 상호 협의하여 실행한다.","제3조 [공정거래 준수 및 동반성장 지원] ""갑""과 ""을""은 공정하고 투명한 거래를 위해 금품, 향응, 접대 등을 요구하거나 제공하지 않으며, 위법하거나 부당한 행위를 하지 않고, 거래상 우월적 지위를 남용하지 않으며, ""갑""은 ""을""의 동반성장을 위해 재무건전화, 기술개발, 근무환경 개선 등을 위한 지원프로그램을 마련하고 지원에 노력한다.."
"제4조 [상품의 납품] ① 을이 갑에게 납품하여야 하는 상품의 종류, 수량 및 가격과 상품의 납품장 소ㆍ납품기일은 [별지]와 같다. 상품의 종류, 수량 및 가격과 납품장소ㆍ납품기일 은 발주의뢰서, 매입전표, 세금계산서 등으로 대신할 수 있다. ② 을은 제1항에 따른 납품기일 및 장소에 차질 없이 상품을 납품하여야 하며,  부득이한 사유로 제1항에 따른 납품기일에 상품의 납품이 불가능한 경우에는 해 당 기일의 전일까지 갑에게 납품 기한의 연장을 요청하여 사전 승인을 받아야  한다. ③ 을은 갑에게 『화장품법』, 『전기용품 및 생활용품 안전관리법』, 『대외 무역법』, 『소비자기본법』 등 관련 법령을 준수하여 상품을 납품하여야 한다. ④ 갑은 을이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친  후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이 계약에 따 라 납품하는 상품을 지체 없이 수령한다. 1. 납품받은 상품이 을의 책임 있는 사유로 인하여 훼손된 경우 2. 납품받은 상품에 하자가 있는 경우 3. 납품받은 상품이 갑이 주문한 상품과 다른 경우 4. 유통 기한이 정해진 화장품으로 해당 기한을 초과하여 납품된 경우 5. 기타 갑이 정당한 사유로 상품의 수령을 지체하거나 거부할 수 있는 경우  ⑤ 을은 다음 각 호의 경우에 갑과 협조하여 필요한 조치를 강구한다. 1. 을의 책임 있는 사유로 납품한 상품이 손상되거나 하자가 있는 경우 2. 을이 계약 내용과 다르게 상품을 납품하는 경우 ⑥ 갑은 정당한 사유 없이 을에게 다음과 같은 행위를 강요하지 않는다. 1. 시장가격보다 현저히 낮은 가격으로 납품하도록 요구하는 행위 2. 과도한 판촉행사 참여를 강요하는 행위 3. 계약된 가격 인하를 부당하게 지연하는 행위","제4조 [상품의 납품] ""을""은 정해진 조건에 맞춰 상품을 납품하고, 불가피한 경우 사전 승인을 받아야 한다. ""갑""은 검수 후 정당한 사유 없이 수령을 지연할 수 없으며, 하자 발생 시 ""을""과 협조해 조치해야 한다. 또한, ""갑""은 부당한 가격 요구나 과도한 납품을 강요할 수 없다."
"제5조 [검수기준 및 품질검사] ① 갑은 납품받는 화장품의 품질을 유지하기 위해 갑의 검수기준에 따른 검 수를 하여야 한다. 이를 위해 갑은 필요시 을에게 샘플을 요구할 수 있다. ② 갑은 상품의 품질, 규격, 법적 기준 등 을이 납품하는 상품에 대한 검수기 준을 사전에 을에게 서면으로 명확하게 전달하여야 한다. ③ 갑은 을이 납품하는 화장품에 대해 품질 및 성분검사를 요구할 수 있으며,  을은 공인된 검사기관에서 검사받은 후 검사 결과를 납품 전 갑에게 제출해 야 한다. ④ 검사비용은 원칙적으로 을이 부담하되, 갑이 요구하는 추가 검사가 기존  품질검사를 초과하는 경우 갑이 부담할 수 있다. ⑤ 품질검사 결과 을이 납품한 상품이 법적 기준을 충족하지 못할 경우, 갑은  납품 중지 및 개선 요구를 할 수 있으며, 을이 시정하지 않으면 계약을 해지할  수 있다.","제5조 [검수기준 및 품질검사] ""갑""은 품질 유지를 위해 검수기준에 따라 검수를 하고, 필요시 샘플을 요구하며, 품질검사와 성분검사를 요구할 수 있다. ""갑""은 검사비용을 원칙적으로 ""을""에게 부담시키며, 법적 기준을 충족하지 않으면 납품 중지와 계약 해지를 할 수 있다."
"제6조 [납품대금 지급 및 감액금지] ① 갑은 납품대금을 상품 입고일로부터 60일 이내에 현금성 결제수단으로 지급 한다. 단, 을의 서류 미비 등 을의 사유로 지급이 지연될 경우 예외로 한다. ② 갑이 정해진 기간을 초과하여 대금을 지급하는 경우, 초과 기간에 대한 공정 거래위원회 고시 지연이율을 적용하여 이자를 지급해야 한다. ③ 갑은 을이 납품한 상품의 대금을 일방적으로 감액하거나 상품권 등의 대 체 결제를 강요하지 않는다. ④ 다만, 다음 각 호에 해당하는 경우 갑과 을이 합의한 서면에 따라 감액할  수 있다. 1. 계약된 상품과 다른 상품이 납품된 경우 2. 을의 책임 있는 사유로 인해 상품이 손상된 경우 3. 품질 검사 결과 기준 미달인 경우 ⑤ 갑은 을과 합의하여 계약서에 따라 지급해야 할 상품 대금에서 을이 부 담해야 하는 비용을 공제할 수 있다. 이 경우, 갑은 공제 내역을 을에게 사전  서면 통보하여야 한다.","제6조 [납품대금 지급 및 감액금지] ""갑""은 납품대금을 상품 입고일로부터 60일 이내에 지급하며, 지급 지연 시 이자를 지급해야 한다. ""갑""은 상품 대금을 감액하거나 상품 또는 상품권으로 지급하지 않으며, 서면 합의 후 감액할 수 있다. 화장품은 납품 후 7일 이내에 검수하고, 검수 결과에 따라 7일 이내에 감액할 수 있다."
"제7조 [상품의 반품] ① 갑은 정당한 사유 없이 을로부터 매입한 화장품 상품을 반품할 수 없다.  다만, 다음 각 호의 경우에는 합리적인 기간 내에 반품이 가능하다. 1. 납품된 상품이 을의 책임 있는 사유로 손상되거나 하자가 있는 경우 2. 주문한 상품과 다른 제품이 납품된 경우  3. 반품에 따른 손실을 갑이 부담하고 을의 사전 동의를 받은 경우 4. 시즌 한정 상품, 프로모션용 상품 등의 반품이 사전에 합의된 경우 5. 을이 직접적인 이익이 된다고 판단하여 서면으로 반품을 요청한 경우 6. 납품된 상품이 위조품이거나 법적 문제로 판매가 불가능한 경우 7. 해당 브랜드의 정책에 따라 반품이 이루어지는 경우 ② 다음 각 호의 경우에는 을이 요청하더라도 반품이 불가능하다. 1. 갑이 매장에서 사용하여 가치가 현저히 훼손된 상품 2. 갑 전용 브랜드(PB) 제품으로 타 유통 경로에서 판매가 어려운 상품 3. 갑의 매장 개편 등 내부 사유로 인해 발생한 재고 상품 ③ 반품 기간은 납품일로부터 14일 이내로 한다. 다만, 즉시 발견이 어려운 품질  문제의 경우 협의를 통해 연장할 수 있다. ④ 신선 화장품의 경우, 납품 후 2일 이내에만 반품할 수 있다. ⑤ 갑은 반품 기준과 절차를 사전에 공지하며, 변경 시에도 동일한 방법으로 통 지한다.","제7조 [상품의 반품] ""갑""은 정당한 사유 없이 상품을 반품할 수 없으며, 하자나 오손 등은 반품 가능하고, 반품 비용은 사유에 따라 부담한다. 전시나 재고 처리 목적의 반품은 거부할 수 있으며, 반품은 정해진 기간 내 서면으로 요청해야 한다. 반품 기준과 절차는 사전에 통지한다."
"제8조 [판매장려금] ① 갑은 화장품 판매 촉진을 위해 을로부터 판매장려금을 받을 수 있으며, 그  조건은 다음과 같다. ② 판매장려금의 결정 및 변경 기준은 다음과 같다. 1. 결정 기준: 판매 실적, 브랜드 협력 여부, 시장 상황 등을 고려 명칭  종류  지급목적  지급시기  지급횟수  판매장려금률  판매 인 센티브 성과장려 금  목표  달성  시 성과  달성  후 연 2회 초과판매액의  5%  2. 결정 절차: 담당자 협의 후 확정 3. 변경 사유: 매출 증감, 시장 변동 등 4. 변경 절차: 서면 협의 후 반영 ③ 갑은 정당한 사유 없이 판매장려금 조건을 일방적으로 변경할 수 없으며, ' 을'에게 추가적인 경제적 부담을 요구하지 않는다.","제8조 [판매장려금] ""갑""은 일정량 이상의 상품을 판매하면 연 2회 판매장려금(5%)을 수령할 수 있으며, 판매장려금은 실적과 시장 상황을 고려해 결정된다. ""갑""은 계약 기간 동안 판매장려금을 불리하게 변경하거나 추가적인 경제적 이익을 제공하지 않는다."
"제9조 [판촉사원 파견 등] ① 갑은 을의 판촉사원을 요청할 수 있으며, 그 조건은 다음과 같다. 1. 갑이 판촉사원의 급여 및 기타 비용을 부담하는 경우 2. 을이 판촉사원 파견을 서면으로 요청한 경우 3. 갑이 특정한 판매 기술을 가진 판촉사원의 지원을 요청한 경우 ② 을은 최대 10명의 범위에서 판촉사원을 파견하며, 갑은 불필요한 파견을  강요할 수 없다. ③ 판촉사원은 을의 지시를 받아 업무를 수행하며, 갑의 운영 방침을 준수해 야 한다. ④ 판촉사원의 근무 시간과 기간은 계약서에 명시된 일정에 따른다. ⑤ 판촉사원과 관련된 비용 분담은 상호 협의하여 결정한다. ⑥ 을은 판촉사원이 관련 법령을 준수하도록 교육을 실시하며, 필요한 경우 '갑 '에게 협조를 요청할 수 있다. ⑦ 갑은 판촉사원 관련 기준을 사전에 공지하며, 변경 시에도 동일한 방법으로  통지한다.","제9조 [판촉사원 파견 등] ""갑""은 ""을""의 판촉사원을 사용할 수 있으며, ""갑""이 고용한 직원의 인건비는 ""을""에게 부담시키지 않는다. ""을""은 최대 10명의 판촉사원을 파견하며, ""갑""은 불필요한 파견을 강요할 수 없다. 판촉사원은 ""을""의 지시를 받아 업무를 수행하고, 비용 분담은 상호 협의로 결정된다. ""갑""은 파견 기준을 서면으로 통지하고 변경 시에도 같은 방식으로 통지한다."
"제10조 [서비스 품질유지] ① 갑, 을 및 을이 파견한 판촉사원은 고객이 기대하는 수준 이상의 서비스  품질을 유지하도록 노력하여야 한다. ② 갑과 을은 고객의 정당한 불만 발생 시 보상 및 시정을 위한 적절한 조치 를 취하며, 불만 재발 방지를 위한 예방 조치를 시행하여야 한다. ③ 갑과 을은 고객불만 해결 및 재발 방지 비용을 원인과 과실 여부를 고려 하여 협의 후 분담한다.","제10조 [서비스 품질유지] ""갑"", ""을"" 및 판촉사원은 고객 기대 이상의 서비스 품질을 유지해야 하며, 고객 불만에 대해 보상 및 시정 조치를 취하고 재발 방지를 위해 필요한 조치를 시행해야 한다. 불만 해결 및 재발 방지 비용은 원인과 과실을 고려해 상호 협의하여 분담한다."
