sentence,toxic_label,article_number
"이 계약서의 작성 목적은 갑과 을 간 프리미엄 화장품의 직매입거래(갑이 을로부터 상품을 매입하여 면세점에서 판매하며, 일정 기간 내 판매되지 아니한 상품에 대한 판매책임을 부담하는 형태의 거래를 말한다)에서 양 당사자 사이의 기본적인 권리와 의무를 정하기 위함에 있다. . ",0,1
① 갑과 을은 상호이익을 존중하고 이 계약상 의무를 신의에 따라 성실히 이행함으로써 상호 공정한 거래관계와 동반성장을 추구한다. . ,0,2
"② 갑과 을은 이 계약의 이행과 관련하여 『대규모유통업에서의 거래 공정화에 관한 법률』 및 그 시행령, 『화장품법』, 『소비자기본법』 등 관련 법령의 규정을 준수한다. . ",0,2
③ 을이 해외 명품 화장품 브랜드를 보유하는 등 갑이 을에 대하여 거래상 우월적 지위에 있다고 인정되지 아니할 경우에는 이 표준거래계약서의 내용을 거래 현실에 맞게 수정하여 사용할 수 있다. . ,0,2
"① 갑과 을은 공정하고 투명한 거래를 위하여 다음 각 호의 내용을 준수한다. 1. 상대방에게 금품, 향응, 편의 또는 접대를 요구하거나 제공해서는 아니 되며, 위법하거나 부당한 행위를 하지 아니한다.",0,3
① 갑과 을은 공정하고 투명한 거래를 위하여 다음 각 호의 내용을 준수한다.,0,3
① 갑과 을은 공정하고 투명한 거래를 위하여 다음 각 호의 내용을 준수한다. 2. 거래상 우월적 지위를 남용하여 공정한 거래질서에 반하는 행위를 요구하지 아니한다.,0,3
"② 갑은 을과의 동반성장을 위하여 을의 재무건전화, 기술개발 촉진, 근무환경개선 등을 위한 다양한 지원프로그램을 마련하여 지원하는데 노력한다. . ",0,3
"③ 갑은 을이 국내외 시장에서 브랜드 경쟁력을 강화할 수 있도록 홍보 및 마케팅 지원 방안을 마련할 수 있으며, 이를 상호 협의하여 실행한다. . ",0,3
"① ""을""이 ""갑""에게 납품하여야 하는 상품의 종류, 수량 및 가격과 상품의 납품장소ㆍ납품기일은 [별지]와 같다. 상품의 종류, 수량 및 가격과 납품장소ㆍ납품기일은 발주의뢰서, 매입전표, 세금계산서 등으로 대신할 수 있다. . ",0,4
"② ""을""은 제1항에 따른 납품기일 및 장소에 차질 없이 상품을 납품하여야 하며, 부득이한 사유로 제1항에 따른 납품기일에 상품의 납품이 불가능한 경우에는 해당 기일의 전일까지 ""갑""에게 납품 기한의 연장을 요청하여 사전 승인을 받아야 한다. . ",0,4
"③ ""을""은 ""갑""에게 『화장품법』, 『전기용품 및 생활용품 안전관리법』, 『대외무역법』, 『소비자기본법』 등 관련 법령을 준수하여 상품을 납품하여야 한다. . ",0,4
"④ ""갑""은 ""을""이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 ""을""이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다. 1. 납품받은 상품이 ""을""의 책임 있는 사유로 인하여 훼손된 경우",0,4
"④ ""갑""은 ""을""이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 ""을""이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다.",0,4
"④ ""갑""은 ""을""이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 ""을""이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다. 2. 납품받은 상품에 하자가 있는 경우",0,4
"④ ""갑""은 ""을""이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 ""을""이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다. 3. 납품받은 상품이 ""갑""이 주문한 상품과 다른 경우",0,4
"④ ""갑""은 ""을""이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 ""을""이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다. 4. 유통 기한이 정해진 화장품으로 해당 기한을 초과하여 납품된 경우",0,4
"④ ""갑""은 ""을""이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 ""을""이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다. 5. 기타 ""갑""이 정당한 사유로 상품의 수령을 지체하거나 거부할 수 있는 경우",0,4
"⑤ ""을""은 다음 각 호의 경우에 ""갑""과 협조하여 필요한 조치를 강구한다. 1. ""을""의 책임 있는 사유로 납품한 상품이 손상되거나 하자가 있는 경우",0,4
"⑤ ""을""은 다음 각 호의 경우에 ""갑""과 협조하여 필요한 조치를 강구한다.",0,4
"⑤ ""을""은 다음 각 호의 경우에 ""갑""과 협조하여 필요한 조치를 강구한다. 2. ""을""이 계약 내용과 다르게 상품을 납품하는 경우",0,4
