sentence,toxic_label,article_number
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하며, 그 비용의 일부를 을이 부담할 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결한다.",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하며, 그 비용의 일부를 을이 부담할 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결한다. 1. 프로모션의 이름, 목표 및 진행 기간",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하며, 그 비용의 일부를 을이 부담할 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결한다. 2. 행사 중 판매할 제품의 목록",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하며, 그 비용의 일부를 을이 부담할 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결한다. 3. 예상되는 행사 비용의 규모 및 세부 내역",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하며, 그 비용의 일부를 을이 부담할 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결한다. 4. 행사로 발생할 경제적 이익(이하 기대 수익)의 분배 비율",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하며, 그 비용의 일부를 을이 부담할 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결한다. 5. 행사 비용 분담 비율 또는 구체적인 금액",0,11
② 갑은 정당한 이유 없이 을에게 의사에 반한 행사 참여를 강요하거나 을의 제품 광고를 강제하지 않는다.,0,11
"③ 제1항 제5호에 의거한 비용 분담 비율은 기대 수익 비율에 따라 결정하되, 양측이 동일한 수익을 얻는 것으로 간주하는 경우도 가능하다.",0,11
"④ 을의 분담 비율은 행사 전체 비용의 50%를 초과할 수 없으며, 초과되는 금액은 갑이 부담한다.",0,11
"⑤ 을이 자발적으로 차별화된 프로모션을 요청하는 경우, 갑과 을은 상호 협의하여 비용 분담 비율을 새롭게 정할 수 있다.",0,11
"⑥ 갑은 판촉행사 기준 및 비용 분담 방침을 을이 열람할 수 있는 온라인 매체를 통해 공개하며, 변경 사항 역시 동일한 방식으로 고지한다.",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하고 그 비용 일부를 을이 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다.",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하고 그 비용 일부를 을이 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 1. 프로모션의 이름, 목적 및 진행 기간",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하고 그 비용 일부를 을이 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 2. 행사 중 판매할 제품의 목록",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하고 그 비용 일부를 을이 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 3. 예상되는 행사 비용 규모와 세부 항목",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하고 그 비용 일부를 을이 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 4. 행사로 발생하는 경제적 이익(이하 기대 수익)의 분배 비율",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 참여하고 그 비용 일부를 을이 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 5. 행사 비용 분담 비율 또는 구체적인 금액",0,11
② 갑은 정당한 이유 없이 을에게 의사에 반하는 행사 참여를 강요하거나 을의 제품 광고를 강제하지 않는다.,0,11
"③ 제1항 제5호에 따른 비용 분담 비율은 기대 수익 비율에 따라 결정되며, 양측이 동일한 수익을 얻는 것으로 간주할 수 있다.",0,11
"④ 을의 분담 비율은 행사 전체 비용의 50%를 초과할 수 없으며, 초과 금액은 갑이 부담한다.",0,11
"⑤ 을이 자발적으로 차별화된 프로모션을 요청하는 경우, 갑과 을은 협의하여 비용 분담 비율을 새롭게 정할 수 있다.",0,11
"⑥ 갑은 판촉행사 기준 및 비용 분담 방침을 을이 열람할 수 있는 온라인 매체를 통해 공개하며, 변경 사항도 동일한 방식으로 고지한다.",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 을이 참여하고 그 비용 일부를 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다.",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 을이 참여하고 그 비용 일부를 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 1. 프로모션의 이름, 목표 및 기간",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 을이 참여하고 그 비용 일부를 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 2. 행사 중 판매될 제품의 목록",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 을이 참여하고 그 비용 일부를 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 3. 예상되는 행사 비용의 규모와 세부 내역",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 을이 참여하고 그 비용 일부를 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 4. 행사로 발생하는 경제적 이익(이하 기대 수익)의 분배 비율",0,11
"① 갑이 주최하는 판촉행사(이하 프로모션이라 한다)에 을이 참여하고 그 비용 일부를 부담하는 경우, 양측은 사전에 다음 사항을 포함한 서면 합의를 체결해야 한다. 5. 행사 비용 분담 비율 또는 구체적인 금액",0,11
"② 갑은 정당한 이유 없이 을에게 의사에 반하는 행사 참여를 강요하지 않으며, 을의 제품 광고를 강제하지 않는다.",0,11
