article_number,clause_number,sub_clause_number,toxic_label,content
26,1,0,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,2,0,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,3,0,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,4,0,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,5,0,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,6,0,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,7,0,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,7,1,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,7,2,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
26,7,3,0,"
    제26조 [계약의 유효기간 및 갱신]
    ① 본 계약의 유효기간은 2025년 1월 1일부터 2026년 12월 31일까지로 한다.
    ② ""갑"" 또는 ""을"" 중 어느 한쪽도 계약 만료 60일 전까지 계약 변경, 갱신 거부 등 의사를 서면으로 통보하지 않을 경우, 본 계약은 동일한 조건으로 자동 연장된다.
    ③ ""갑""은 ""을""과 ""을""의 하도급 업체 간에 반복적인 불공정 거래가 발생하는 것이 확인될 경우 계약 갱신을 거부할 수 있다.
    ④ ""갑""이 계약 갱신을 거부하려는 경우, 계약 종료 60일 전에 갱신 거부 사유를 상세히 서면으로 ""을""에게 통보해야 한다.
    ⑤ ""을""은 갱신 거부 사유가 부당하거나 사실과 다르다고 판단될 경우, 증빙 자료를 첨부하여 ""갑""에게 이의를 제기할 수 있다.
    ⑥ ""갑""은 이의 신청이 접수된 날로부터 14일 이내에 ""을""과 협의를 시작해야 하며, 이를 정당한 사유 없이 거부하거나 지연해서는 안 된다.
    ⑦ ""을""은 다음 각 호 중 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.
    1. ""갑""이 이의 신청 후 14일 내에 협의를 개시하지 않은 경우
    2. 협의가 시작된 날로부터 30일 내에 합의에 도달하지 못한 경우
    3. ""갑"" 또는 ""을""이 협의 중단 의사를 밝힌 경우
"
