sentence,toxic_label,article_number
"① 을은 계약 체결 이후 최저임금 인상, 원재료가격 상승 등으로 인해 납품하는 상품의 공급원가가 변동되어 납품 가격 조정이 불가피한 경우에는 다음 각 호 서류를 첨부하여 갑에게 납품 가격 조정을 신청할 수 있다.",0,6
"① 을은 계약 체결 이후 최저임금 인상, 원재료가격 상승 등으로 인해 납품하는 상품의 공급원가가 변동되어 납품 가격 조정이 불가피한 경우에는 다음 각 호 서류를 첨부하여 갑에게 납품 가격 조정을 신청할 수 있다. 1. 납품 가격 조정 대상이 되는 상품의 공급원가 변동, 공급조건 변화 등을 확인할 수 있는 서류",0,6
"① 을은 계약 체결 이후 최저임금 인상, 원재료가격 상승 등으로 인해 납품하는 상품의 공급원가가 변동되어 납품 가격 조정이 불가피한 경우에는 다음 각 호 서류를 첨부하여 갑에게 납품 가격 조정을 신청할 수 있다. 2. 그 밖에 납품 가격 조정에 필요한 서류",0,6
"② 갑은 제1항에 따른 신청이 있은 날부터 최대 45일 이내에 협의를 개시하여야 하며, 정당한 사유 없이 협의를 거부하거나 게을리하여서는 아니 된다. 단, 을이 제1항에 따른 첨부서류를 제공하지 않는 경우에는 그러하지 아니하다.",1,6
③ 제2항에 따른 협의 결과 갑과 을이 계약서 내용 변경에 합의하는 경우 갑은 계약 변경사항이 명시된 서면을 을에게 주어야 한다. 이때 서면에는 갑과 을이 각각 서명 또는 기명날인하여야 한다.,0,6
④ 갑 또는 을은 다음 각 호의 어느 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다.,0,6
④ 갑 또는 을은 다음 각 호의 어느 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다. 1. 제1항에 따른 신청이 있은 날부터 30일 안에 갑과 을이 합의에 도달하지 아니한 경우,0,6
④ 갑 또는 을은 다음 각 호의 어느 하나에 해당하는 경우 대규모유통업거래 분쟁조정협의회에 조정을 신청할 수 있다. 2. 제1항에 따른 신청으로 인한 협의 개시 이후 갑 또는 을이 협의 중단의 의사를 밝힌 경우 등 합의에 도달하지 못할 것이 명백히 예상되는 경우,0,6
"① 을은 계약 체결 이후 최저임금 변동, 원자재비 상승 등으로 인해 납품하는 상품의 공급원가가 변동될 경우, 다음 각 호의 서류를 첨부하여 갑에게 납품 가격 조정을 신청할 수 있다.",0,6
"① 을은 계약 체결 이후 최저임금 변동, 원자재비 상승 등으로 인해 납품하는 상품의 공급원가가 변동될 경우, 다음 각 호의 서류를 첨부하여 갑에게 납품 가격 조정을 신청할 수 있다. 1. 납품 가격 조정이 필요한 상품의 원가 변동 내역을 증빙할 수 있는 자료",0,6
"① 을은 계약 체결 이후 최저임금 변동, 원자재비 상승 등으로 인해 납품하는 상품의 공급원가가 변동될 경우, 다음 각 호의 서류를 첨부하여 갑에게 납품 가격 조정을 신청할 수 있다. 2. 기타 납품 가격 조정에 필요한 관련 서류",0,6
