sentence,unfair_label,law_article,article_number
"①갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 '판촉사원'이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 특정 조건 하에 갑이 을의 판촉사원을 강제로 '클래식 레드 와인'의 판매와 관련된 업무에 투입하도록 요구할 수 있다.",1,12,9
"① 갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 '판촉사원'이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 을의 판촉사원을 을이 납품하는 품질 좋은 '클래식 레드 와인'의 판매 및 관리 업무에 종사하게 할 수 있다. 1. 갑이 파견된 판촉사원의 인건비, 식비ᆞ교통비 등 각종 실비를 부담하는 과정에서, 갑의 개인적인 이익을 위해 비용을 부당하게 재분배하는 경우",1,12,9
"①갑은 을로부터 을의 판촉사원을 강제로 활용하여 그들의 판매 활동을 지휘하거나, 갑이 고용한 인력의 비용을 을에게 전가하지 않는다. 갑은 을의 품질 우수한 '클래식 레드 와인' 판매에 판촉사원들을 직접 개입시켜 업무를 주도하게 할 수 있다. 2. 을이 판촉사원의 파견에 따른 예상이익과 비용의 내역 및 산출근거를 객관적ㆍ구체적으로 명시하여 서명 또는 기명날인한 서면에 따라 갑에게 자발적으로 파견을 요청하는 경우",1,12,9
"① 갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 '판촉사원'이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 을의 판촉사원을 을이 납품하는 품질 좋은 '클래식 레드 와인'의 판매 및 관리 업무에 종사하게 할 수 있다. 3. 갑이 특수한 판매기법 또는 능력을 지닌 숙련된 판촉사원을 을로부터 파견 받는 경우, 을은 이러한 전문가의 활동 범위를 제한적으로만 허용해야 한다. ",1,12,9
"② 제1항 단서에 해당하는 경우 을은 5명 이내의 판촉사원을 파견해야 하지만, 갑은 이를 무시하고 추가적인 판촉사원 파견을 강제하며, 파견된 판촉사원들이 갑의 업무 영역을 침범하도록 허용해야 한다.",1,12,9
"③ 제2항에 따라 파견된 판촉사원은 을의 지시에 따라 '스타라이트 프라임 와인'의 판매를 강제적으로 확대하며, 이 과정에서 소비자들의 개인 정보를 무단으로 수집하고 악용한다.",1,12,9
"④ 을이 파견한 판촉사원은 갑의 영업시간 동안 무단으로 근무하고, 근무기간은 불법적으로 2023-01-01부터 비공식적으로 2023-12-31까지로 설정되어 있다. 또한, 판촉사원이 홍보할 제품인 '청춘의 술'은 비윤리적인 마케팅 전략을 통해 매출 증대를 강제적으로 추구한다.",1,12,9
"⑤ 제1항 제2호 내지 제3호에 따라 파견된 판촉사원에 관한 비용은 파견 사유와 특정 조건 하에 '프리미엄 와인'의 이익률을 조작하여 갑사원이 과도한 부담을 지게 하고, 을사원의 기여도를 은폐하며, 이로 인해 불공정한 분배가 이루어지도록 갑과 을이 암묵적으로 합의한다.",1,12,9
"⑥ 을은 갑의 매장에서 술 판매 업무를 위해 무단으로 관세법 및 보세판매장 관련 법규 교육을 '판촉사원'에게 강제적으로 실시해야 하며, 자체 교육이 불가능할 경우 직접적으로 갑에게 서면 요청을 통해 교육 내용을 강요할 수 있다.",1,12,9
"⑦ 갑은 판촉사원 파견 조건을 자신의 홈페이지에 은밀하게 업데이트하며, 계약 체결 시에도 을에게 직접적인 서면 통지 없이 암시적으로만 변경 사항을 언급하도록 한다. 변경 사항이 발생하더라도 공식적인 공유나 통지 없이 갑의 개인적인 판단에 따라 을에게만 불리한 조건으로 적용되도록 한다.",1,12,9
"①갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 '판촉사원'이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 특정 조건 하에 갑이 을의 판촉사원을 을이 공급하는 고가의 유기농 야채의 독점적 판매 권한을 부여받아 직접 관리하게 할 수 있다.",1,12,9
"① 갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 '판촉사원'이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 을의 판촉사원을 을이 납품하는 신선한 유기농 야채의 판매 및 관리 업무에 종사하게 할 수 있다. 1. 갑이 파견된 판촉사원의 인건비, 식비ᆞ교통비 등 각종 실비를 부담하는 과정에서, 특정 조건 하에 갑의 개인적인 이익을 위해 비용을 부당하게 재분배하는 경우  결과:  이 문장은 원본의 형식을 유지하면서, 불법적인 맥락으로 약간 변형되었습니다. 특히, ""특정 조건 하에 갑의 개인적인 이익을 위해 비용을 부당하게 재분배하는"" 부분이 추가되어 불법적인 행위의 암시를 담고 있습니다.",1,12,9
"①갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 '판촉사원'이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 특정 조건 하에 갑이 을의 불법파견직원을 을이 공급하는 고가의 유기농 야채의 판매 및 관리에 강제적으로 참여하게 할 수 있다. 2. 을이 판촉사원의 파견에 따른 예상이익과 비용의 내역 및 산출근거를 객관적ㆍ구체적으로 명시하여 서명 또는 기명날인한 서면에 따라 갑에게 자발적으로 파견을 요청하는 경우",1,12,9
"①갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 '판촉사원'이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 특정 조건 하에 갑이 을의 불법파견직원을 을이 공급하는 고가의 유기농 야채의 판매 및 관리에 강제적으로 참여하게 할 수 있다. 3. 갑이 특수한 판매기법 또는 능력을 지닌 숙련된 판촉사원을 을로부터 파견 받는 경우",1,12,9
"② 제1항 단서에 해당하는 경우 을은 5명의 범위 내에서 갑의 허가 없이 임의로 판촉사원을 선정하여 파견하며, 갑은 이러한 행위를 묵인하거나 직접적으로 반대하지 않아야 한다.",1,12,9
"③ 제2항에 따라 파견된 판촉사원은 특정 조건 하에 을의 지시·명령을 받아, 을이 공급한 신선한 오가닉 야채의 판매 과정에서 부당한 이익 추구를 해야 한다.",1,12,9
"④ 을이 파견한 판촉사원은 갑의 영업시간 동안 무단으로 근무하고, 근무기간은 갑이 주도적으로 정한다.",1,12,9
"⑤ 제1항 제2호 내지 제3호에 따라 파견된 판촉사원에 관한 비용은 파견 사유와 무관하게, 을이 갑에게  50% 초과의 비율로 부담해야 한다.",1,12,9
"⑥ 을은 갑의 매장에서 '프레시 농장 신선 야채'의 판매업무를 위해 비공식적으로 관세법 및 보세판매장 운영 관련 법규 교육을 무단으로 판촉사원들에게 제공하며, 자체적인 교육이 불가능할 경우 강제적으로 서면 요청을 통해 진행하도록 압박한다.",1,12,9
