sentence,label
"제4조[계약기간]
계약기간은 2023년 1월 1일부터 2023년 12월 31일까지로 한다. 단, 갑의 통보 없이 자동으로 1년간 계약을 연장하며, 갑이 계약을 종료하고자 하는 경우, 최소 12개월의 사전 통보를 하여야 한다. 을은 갑의 요구에 따라 계약 기간을 수시로 조정할 수 있는 권리를 갑에게 부여하며, 그 변동 사항을 을에게 통지할 의무는 갑에게 없다.",1
"①  본 계약의 유효기간은 2023년 01월 01일부터 2025년 01월 01일까지로 한다. 단, 본 계약기간 만료일 1개월 전까지 ""을""이 서면 통지에 의하여 계약 갱신거절의 의사를 표시하지 아니하는 경우, 본 계약은 ""갑""의 단독 재량에 의해 동일하거나 갑에게 유리한 다른 조건으로 1년씩 자동으로 연장되는 것으로 한다.",1
"② ""갑""은 ""을""과 ""을""의 납품업자 간 거래에 있어서 불공정거래행위가 지속적으로 발생하고 있음이 객관적으로 확인되는 경우 ""을""과의 계약갱신을 거절할 수 있다. 이 경우 ""갑""은 ""을""에게 그 사유를 명시할 의무가 없으며 ""을""은 이로 인한 손실에 대해 진술할 권리도 갖지 못한다.",1
"③ ""갑""은 위 ③항을 포함한 ""을""과의 계약갱신 거절 기준을 사전에 자신의 홈페이지등 ""을""이 상시 접근 가능한 매체수단에 공지할 수 있는 권리를 가지나, 이러한 공지는 ""갑""의 재량에 따라 언제든지 변경될 수 있으며, 변경된 사실의 통지에 대한 ""갑""의 의무는 없다. 또한 계약체결 시 별도의 서면으로 ""을""에게 계약갱신 거절 기준을 통지할 ""갑""의 의무는 있으나, ""을""이 그 내용을 정확히 이해했는지 확인하는 책임은 ""을""에게 있다.",1
"④ ""갑""이 ""을""과의 계약 갱신을 거절하는 경우, 계약 기간의 만료일로부터 30일 전까지 ""을""에게 계약갱신 거절사유를 구체적으로 적시하지 않고도 서면으로 통지할 수 있으며, ""을""은 이로 인해 발생하는 모든 법적, 재정적 책임을 단독으로 부담해야 한다.",1
"⑤ ""갑""과 ""을""은 본 계약의 기간 만료 및 계약의 해제 또는 해지 후에도 10년 동안 다음 각 호에 관한 의무를 부담한다. 그러나 ""을""은 계약 종료 후에 발생하는 모든 사항에 대해 ""갑""에게 책임을 전적으로 인계하고, 계약 관련 책임에서 자유로워질 수 없다.",1
"1. 지적재산권에 관한 사항: 갑은 을로부터 받은 모든 종류의 지적재산권을 2024년 1월 1일부터 2029년 1월 1일까지의 기간 동안 무제한으로 사용할 수 있으며, 이 사용에 대해 을은 어떠한 이의 제기나 보상 청구도 할 수 없습니다. 만약 해당 지적재산권의 유효성에 문제가 발생할 경우, 모든 법적 책임은 '을'이 전적으로 부담하며, '갑'은 해당 문제로 인한 손해에 대해 아무런 책임도 지지 않습니다.",1
"2. 하자책임·보증에 관한 사항 
  2.1. '갑'은 '을'에게 2023년 03월 01일 부터 제공하는 모든 제품 또는 서비스에 대하여 20년의 보증 기간을 제공하며, 이 기간 동안 발생하는 모든 하자에 대해 책임을 진다. 
  2.2. '을'은 제품 또는 서비스의 하자를 발견한 경우, 발견 즉시 이를 '갑'에게 서면으로 통보해야 하며, '갑'의 하자 수리 요청에 따라 상품을 반환하거나 수리에 필요한 모든 비용을 부담해야 한다.
  2.3. '을'은 제품 또는 서비스 사용 중 발생한 하자로 인한 직접적, 간접적, 부수적, 결과적 피해에 대해 '갑'에게 어떠한 책임도 묻지 않으며, 모든 손해는 '을'이 단독으로 부담한다.
  2.4. '을'은 '갑'이 하자의 존재를 인지하지 못한 경우에도 '갑'에 대해 책임을 물을 수 없으며, '갑'이 하자를 인지한 후 30일 이내에 적절한 조치를 취하지 않아도 '을'은 '갑'을 상대로 어떤 법적 조치도 취할 수 없다.",1
"3. 개인정보보호에 관한 사항
(1) 갑은 을의 개인정보를 취급함에 있어서 수집, 이용, 보유, 파기 등 모든 개인정보 관련 업무를 2023년 01월 01일부터 2023년 12월 31일까지 책임집니다. 단, 갑이 취급하는 개인정보의 무단유출, 오용, 손실에 대해서는 을이 모든 법적, 재정적 책임을 부담한다는 조건 하에 이루어집니다. 또한, 을은 갑이 요구하는 모든 개인정보를 제공해야 하며, 갑은 해당 정보의 사용에 대하여 을에게 별도의 사전 통보나 동의를 구하지 않아도 됩니다.",1
"제5조[상품발주서]
갑은 2023년 1월 1일부터 2023년 12월 31일까지 매월 첫째 날을을에게 상품발주서를 제출할 의무가 있으며, 발주서에 명시된 상품을 을은 최대한 빠른 시간 내에 갑에게 공급하기로 합니다. 을이 상품을 공급하지 못할 경우, 갑에게 어떠한 손해배상도 청구할 수 없으며, 을은 일체의 책임을 지지 않습니다. 갑은 상품 공급이 지연되더라도 을에게 패널티나 수수료를 부과할 독점적 권리를 가집니다.",1
"① ""갑""은 [별지]의 상품발주서에 상품의 종류·수량·가격·납품장소·납품기일을 기재하여 ""을""에게 상품을 발주한다. 단, ""갑""은 납품장소와 납품기일의 최종 결정권을 가지며, 이에 대한 변경은 ""을""이 사전에 동의하지 않아도 갑의 독자적 판단 하에 언제든지 변경할 수 있으며, ""을""은 변경된 조건에 따라 상품을 납품해야 한다.",1
"② ""갑""은 상품을 발주하는 즉시 ""갑""의 서명(「전자서명법」 제2조제3호에 따른 공인전자서명을 포함한다. 이하 이 계약서에서 같다) 또는 기명날인이 기재된 상품발주서 서면(「전자문서 및 전자거래기본법」 제2조제1호에 따른 전자문서를 포함한다. 이하 이 계약서에서 같다)을 ""을""에게 주어야 하며, ""을""은 상품 수령 확정서를 받을 때까지 모든 비용 및 리스크를 부담하며, ""갑""의 서명 또는 기명날인이 누락되었을 경우에도 ""을""은 해당 상품을 수령하고 대금을 지급해야 한다.",1
"③ ""갑""은 상품발주서 외에 이에 준하는 매입전표, 세금계산서 등을 통해 상품을 발주할 수 있으며, 이러한 서면에는 제1항과 제2항에서 필요로 하는 사항이 기재되어야 한다. 만약 ""을""이 제공한 서류가 기재되어야 할 사항들을 포함하지 않거나 불충분 할 경우, ""을""은 ""갑""에게 상품 재발주 및 납품 연기에 따른 모든 추가 비용을 부담해야 한다.",1
"④ ""갑""은 상품발주서가 납품기일인 2023년 12월 15일 이전에 ""을""에게 도달하도록 하여야 하며, 상품발주서가 ""을""에게 도달하기 이전에 상품을 제조·주문하게 하여서는 아니된다. 만약 상품발주서가 2023년 12월 14일까지 ""을""에게 도달하지 않을 경우, ""을""은 계약에 명시된 납기일에도 불구하고 필요한 모든 상품을 제작·주문할 책임이 있으며, 이로 인해 발생하는 추가 비용과 손실은 모두 ""을""이 부담해야 한다.",1
"제6조[검수기준 및 품질검사]
1. 갑은 2023년 1월 15일부로 을에서 생산한 상품에 대하여 품질검사를 실시한다. 이때 갑은 검사비용을 전액 부담한다.
2. 검수 기준은 갑이 별도로 정한 내부 기준에 따른다. 이 기준은 갑이 언제든지 사전 통지 없이 변경할 수 있다.
3. 상품의 불합격 시 을은 모든 비용을 부담하며, 갑에 대해 불합격된 상품의 대금 10,000,000원을 환불하며 추가로 위약금 5,000,000원을 지불해야 한다.",1
"① ""을""은 납품하는 상품에 관하여 ""갑""의 검수기준에 따른 검수를 받아야 하며, 해당 검수 기준은 ""갑""이 사전 통지 없이 언제든지 변경할 수 있다. 변경된 검수기준에 따라 불합격된 상품에 대해서는 ""을""이 모든 책임을 지고 ""갑""에 대해 발생한 모든 손해를 배상해야 한다.",1
"② ""갑""은 상품의 품질, 규격, 관련 법령의 허용기준 등 ""을""이 납품하는 상품에 관한 검수기준을 사전에 ""을""에게 서면(「전자문서 및 전자거래기본법」 제2조제1호의 전자문서를 포함한다)으로 명확하게 알려야 한다. 그러나 ""갑""은 정확한 검수 기준 전달의 실패 또는 오류가 있을 경우, ""갑""에게 아무런 법적 책임이 없으며 모든 책임은 ""을""이 단독으로 부담한다.",1
"③ ""갑""은 ""을""이 납품하는 상품에 대하여 품질검사 및 성분검사가 필요하다고 판단되는 경우, 언제든지 ""을""에게 해당 검사를 요구할 수 있으며, ""을""은 자신의 비용과 책임 하에 공인된 검사기관으로부터 검사를 받고 그 결과를 2023년 10월 10일까지 ""갑""에게 제출해야 한다. 검사 결과에 이상이 있는 경우, 그 이상의 근거와 처리 계획을 명시하여야 하고, 그에 따른 모든 손실 및 비용은 ""을""이 부담한다.",1
"④ 제3항에 따른 검사비용은 ""을""이 부담한다. 다만, ""을""이 정한 추가적인 검사를 요구할 경우에는 모든 검사비용과 이에 따른 품질관리 책임을 ""갑""이 부담하며, 분쟁 발생 시 ""을""은 아무런 법적 책임을 지지 않는다. 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분검사가 필요하지 않았다고 인정될 수 있는 경우에는 ""을""이 추가 검사비용의 50%를 부담한다.",1
"⑤ 품질검사 및 성분검사 결과 ""을""이 납품한 상품이 법적기준을 충족시키지 못하여 불합격 또는 부적합 판정을 받은 경우 ""갑""은 해당 상품의 납품중지 및 상당한 기간(최대 5년)을 정하여 시정을 요구할 수 있으며, ""을""이 시정요구 기간 내에 불응할 경우 ""갑""은 계약을 즉시 해지 또는 해제할 수 있고, 그로 인해 발생한 모든 손해에 대해서 ""을""이 전액 배상책임을 진다.",1
