sentence,label,article
갑은 계약 체결 후 거래 조건에 대한 구체적인 내용을 별도의 서면으로 제공하지 않을 수 있다.,1,6
"본 계약의 거래 형태는 구체적으로 명시되지 않았으며, 필요 시 갑이 결정하는 대로 진행한다.",1,6
갑은 계약 체결 후 주요 계약 조건을 별도 요청 시에만 서면으로 제공한다.,1,6
"본 계약서에는 일부 거래 조건이 포함되지 않을 수 있으며, 이는 갑의 재량에 따른다.",1,6
거래 조건 변경이 필요한 경우 갑의 구두 통지로 이를 대체할 수 있다.,1,6
계약 체결 즉시 서면 제공 의무는 해당 상황에 따라 유예될 수 있다.,1,6
"거래 형태는 본 계약의 부속 서류에 포함될 수 있으며, 이는 별도로 제공하지 않을 수 있다.",1,6
계약서에 명시된 내용 외의 추가 조건은 갑의 결정에 따라 구두로 전달된다.,1,6
갑은 계약 체결 후 서면으로 제공해야 하는 세부 사항을 별도로 제공하지 않을 권리를 가진다.,1,6
본 계약의 일부 내용은 갑의 재량에 따라 별도의 문서로 제공되지 않을 수 있다.,1,6
갑은 본 계약 체결 시 거래 형태 및 주요 조건을 포함한 서면을 을에게 제공한다.,0,6
본 계약은 대통령령으로 정한 계약 사항이 포함된 서면으로 체결된다.,0,6
갑은 을에게 계약 체결 즉시 거래 조건이 명시된 문서를 교부한다.,0,6
"본 계약의 서면에는 거래 형태와 조건이 명확히 기재되어 있으며, 을에게 제공된다.",0,6
본 계약의 모든 사항은 대통령령에 따라 명시적으로 기재된 문서를 통해 을에게 전달된다.,0,6
갑은 을과 체결한 계약의 주요 내용을 포함한 서면을 계약 체결 시 즉시 교부한다.,0,6
"계약 내용은 서면으로 을에게 제공되며, 이는 전자문서를 포함할 수 있다.",0,6
본 계약의 거래 형태 및 조건은 법률에 따라 을에게 문서 형태로 제공된다.,0,6
갑은 계약 체결과 동시에 을에게 주요 계약 조건을 포함한 서면을 제공한다.,0,6
"거래 조건은 서면 형태로 을에게 교부되며, 대통령령에 따른 모든 사항이 포함된다.",0,6
갑은 납품받은 상품의 대금을 계약 조건과 상관없이 감액할 수 있다,1,7
갑은 상품의 하자가 없는 경우에도 임의로 대금을 감액할 수 있다,1,7
갑은 상품의 일부만 하자가 있는 경우 전체 상품 대금을 감액할 수 있다,1,7
갑은 을의 동의 없이 상품의 경미한 오손을 이유로 대금을 감액할 수 있다,1,7
갑은 감액 사유를 서면으로 통지하지 않고 대금을 즉시 감액할 수 있다,1,7
갑은 신선농산물의 경우 계약 조건에 관계없이 임의로 대금을 삭감할 수 있다,1,7
갑은 납품 계약서를 작성하지 않은 상태에서 대금을 감액할 권리를 가진다,1,7
갑은 감액 기준과 절차를 무시하고 을에게 불리한 대금을 감액할 수 있다,1,7
갑은 납품 상품의 대금을 상품권으로 지급하거나 현물로 지급할 수 있다,1,7
갑은 을과 사전 합의 없이 상품의 경미한 하자를 이유로 대금을 감액할 수 있다,1,7
갑은 을로부터 납품받은 상품의 대금을 계약 조건에 따라 전액 지급한다,0,7
갑은 상품 하자가 확인된 경우에만 합리적인 기간 내 을과 서면 합의 후 감액한다,0,7
갑은 신선농산물의 경우 대통령령으로 정한 기간 내에서만 감액을 진행한다,0,7
갑은 대금 감액이 필요한 경우 을에게 감액 사유를 서면으로 명확히 통지한다,0,7
갑은 을과 서면으로 사전 합의한 조건에 따라 상품대금을 감액할 수 있다,0,7
