sentence,label,article
갑은 독점규제법을 무시하고 을과의 거래 조건을 자율적으로 결정할 수 있다.,1,4
을은 갑이 제시한 거래 조건을 반드시 따라야 하며 협상 권한이 없다.,1,4
갑은 공정거래법과 관계없이 가격을 임의로 조정할 권한을 가진다.,1,4
을은 갑의 요구에 따라 법과 무관하게 계약을 변경해야 한다.,1,4
갑은 독점규제법을 적용받지 않으므로 자유롭게 거래 제한을 설정할 수 있다.,1,4
하도급거래 공정화법이 적용되는 경우라도 갑은 자율적으로 계약을 조정할 수 있다.,1,4
갑은 공정거래법보다 내부 규정을 우선하여 거래할 수 있다.,1,4
을은 독점규제법에 관계없이 갑의 지시에 따라야 한다.,1,4
갑은 공정거래법이 아니라 자체적인 기준에 따라 거래 방식을 결정할 수 있다.,1,4
을은 공정거래법이 아닌 갑의 지침에 따라 계약을 체결해야 한다.,1,4
갑과 을의 거래는 독점규제법에 우선하여 본 법을 적용한다.,0,0
갑은 공정거래법을 준수하면서 본 법을 우선적으로 따라야 한다.,0,0
을은 갑과의 거래 시 본 법의 적용을 받는다.,0,0
"갑과 을의 거래가 하도급거래 공정화법 적용 대상인 경우, 해당 법을 우선적으로 적용한다.",0,0
"공정거래법과 충돌하는 경우, 본 법이 우선 적용되지만 하도급거래법이 적용되면 예외로 둔다.",0,0
"갑은 법적 규정을 따르며, 본 법이 공정거래법보다 우선 적용된다.",0,0
"을은 본 법의 적용을 받으며, 특정 조건에서는 하도급거래법이 적용될 수 있다.",0,0
"본 법은 독점규제법의 특정 조항보다 우선 적용되지만, 제조위탁의 경우 하도급법을 따른다.",0,0
"갑은 법에 따라 거래하며, 하도급거래법이 적용되는 경우 이를 준수해야 한다.",0,0
"본 법은 공정거래법보다 우선 적용되지만, 하도급거래법이 적용되는 경우 이를 따른다.",0,0
갑은 을과의 계약에서 신의성실 원칙을 고려하지 않아도 된다.,1,5
을은 갑의 요구에 따라 계약을 수정해야 하며 신의성실 원칙은 적용되지 않는다.,1,5
갑은 계약 체결 후에도 을에게 일방적으로 불리한 조건을 추가할 수 있다.,1,5
신의성실 원칙과 무관하게 갑은 을의 거래 조건을 일방적으로 변경할 수 있다.,1,5
을은 계약상 불리한 조항이 있어도 갑의 지시에 따라야 한다.,1,5
갑은 계약 체결 후에도 을의 동의 없이 거래 조건을 변경할 수 있다.,1,5
신의성실 원칙과 관계없이 갑은 계약 해지 권한을 독점적으로 가진다.,1,5
"을은 갑이 요구하는 모든 조건을 받아들여야 하며, 신의성실 원칙은 예외로 한다.",1,5
갑은 을과 협의 없이 가격을 조정할 수 있다.,1,5
신의성실 원칙과 관계없이 갑은 거래 조건을 자유롭게 결정할 수 있다.,1,5
갑과 을은 거래 관계에서 신의성실 원칙을 준수해야 한다.,0,0
갑은 을과 계약 체결 시 상호 신뢰를 바탕으로 성실하게 협의해야 한다.,0,0
을은 갑과의 거래에서 신의성실 원칙에 따라 의무를 이행해야 한다.,0,0
신의성실 원칙에 따라 갑은 을의 의견을 충분히 반영해야 한다.,0,0
갑은 을에게 불리한 계약 조건을 강요하지 않아야 한다.,0,0
을은 계약 이행 시 신의성실 원칙에 따라 갑과 협력해야 한다.,0,0
