sentence,label
"이 계약은 판매자(이하 ""A""라 합니다)가 구매자(이하 ""B""라 합니다)에게 아래와 같은 조건으로 상품을 판매하고, B가 이를 구입하는 것을 목적으로 합니다.",0
"제2조[기본원칙] 이 계약은 2023년 1월 1일부터 2024년 12월 31일까지의 기간 동안 유효하며, 계약 금액은 총 1억 원이며, 이에 대한 수수료는 10%로, 매월 31일에 이행할 합산 대금은 총 1천만원이다.",0
"""갑""과 ""을""은 상호이익을 존중하고 이 계약상 의무를 신의에 따라 성실히 이행함으로써 상호 공정한 거래관계와 동반성장을 추구한다.",0
"② ""갑""과 ""을""은 이 계약의 이행과 관련하여 2022년 9월 1일부터 시행되는 「대규모유통업에서의 거래 공정화에 관한 법률」 및 그 2022년 10월 5일부터 시행되는 시행령 등 관련 법령의 규정을 준수한다.",0
"제3조[공정거래 준수 및 동반성장 지원] ""파트너사""는 ""회사""와의 거래에서 공정거래를 준수하며, 상호 발전과 동반성장을 위해 노력해야 한다. 이를 위해 ""회사""는 ""파트너사""에게 2022년 1월 1일부터 2022년 12월 31일까지의 기간 동안 매월 1,000,000원의 지원금을 지급하기로 합의한다. 이 지원금의 지급은 매월 말일을 기준으로 이루어지며, 이의 지급 수수료는 ""회사""가 부담한다. 또한 이에 대한 대금은 지원금 지급 후 7일 이내에 지급되어야 한다.",0
"""갑""과 ""을""은 2022년 3월 5일 이에 공정하고 투명한 거래를 위하여 다음 각 호의 내용을 준수한다.",0
"1. 상대방에게 금품, 향응, 편의 또는 접대를 요구하거나 제공해서는 아니 되며, 위법하거나 부당한 행위를 하지 아니한다.",0
2. 거래상 우월적 지위를 남용하여 공정한 거래질서에 반하는 행위를 요구하지 아니한다.,0
"3. ""갑""은 2023년 6월 1일부터 납품하는 중소기업 사이에 대우의 차별을 두지 않고, 1.5%의 수수료의 수준을 결정하는 과정 등에 합리적이고 공정한 절차를 도입하도록 노력한다.",0
제4조[계약기간] 이 계약의 기간은 2022년 1월 1일부터 2023년 12월 31일까지로 한다.,0
"본 계약의 유효기간은 2022년 5월 1일부터 2023년 4월 30일까지로 한다. 단, 본 계약기간 만료일 1개월 전까지 당사자가 서면 통지에 의하여 계약 갱신거절의 의사를 표시하지 아니하는 경우, 본 계약은 동일한 조건으로 1년씩 자동으로 연장되는 것으로 한다.",0
"② ""갑""은 ""을""과 ""을""의 납품업자 간 거래에 있어서 불공정거래행위가 지속적으로 발생하고 있음이 2023년 10월 5일부터 객관적으로 확인되는 경우 ""을""과의 계약갱신을 거절할 수 있다.",0
"③ ""갑""은 위 ③항을 포함한 ""을""과의 계약갱신 거절 기준을 2022년 5월 17일 사전에 자신의 홈페이지 등 ""을""이 상시 접근 가능한 매체수단에 공지하거나, 2022년 5월 20일 계약체결 시 별도의 서면으로 ""을""에게 통지하여야 한다. 또한 동 기준이 2022년 8월 15일에 변경되었을 경우에도 같은 방법으로 ""을""에게 즉시 통지하여야 한다.",0
"④ ""갑""이 ""을""과의 계약 갱신을 거절하는 경우 2023년 12월 31일의 계약 기간 만료일로부터 30일 전인 2023년 12월 1일까지 ""을""에게 계약갱신 거절사유를 구체적으로 적시하여 서면으로 통지하여야 한다.",0
"⑤ ""갑""과 ""을""은 본 계약의 기간 만료 및 계약의 해제 또는 해지 후에도 3년 동안 다음 각 호에 관한 의무를 부담한다.",0
"1. 이 거래 계약서는 2021년 5월 7일에 작성되었으며, 양 당사자가 지적재산권에 대한 모든 문제를 조정하고 결정할 것에 동의하는 내용을 포함하고 있습니다.",0
"2. 2023년 2월 28일까지 판매자는 본 계약에 의한 상품 또는 서비스의 하자에 대한 책임을 지며, 그 기간 동안의 하자 보증은 비용 없이 수행된다.",0
"3. 개인정보보호에 관한 사항은 '개인정보보호법' 및 '정보통신망 이용촉진 및 정보보호 등에 관한 법률' 등 관련 법령을 준수합니다. 정보를 제공받은 날로부터 5년 후인 2026년 12월 31일까지 보관할 예정이며, 보관 기간 종료 후에는 즉시 파기합니다.",0
"제5조[상품발주서] - 매월 1일에 ""구매자""는 ""판매자""에게 이후 한 달 동안의 예상 주문량을 상품발주서로써 제출해야 하며, 이러한 상품발주서는 매월 10일까지 ""판매자""의 승인을 받아야 합니다.",0
"""갑""은 [별지]의 상품발주서에 가구 100개, 가격은 각 2만원, 납품장소는 서울시 강남구 XX빌딩 10층, 납품기일은 2022년 12월 31일까지를 기재하여 ""을""에게 상품을 발주한다.",0
"② ""갑""은 2022년 12월 15일 상품을 발주하는 즉시 ""갑""의 서명(「전자서명법」 제2조제3호에 따른 공인전자서명을 포함한다. 이하 이 계약서에서 같다) 또는 기명날인이 기재된 상품발주서 서면(「전자문서 및 전자거래기본법」 제2조제1호에 따른 전자문서를 포함한다. 이하 이 계약서에서 같다)을 ""을""에게 주어야 한다.",0
"③ ""갑""은 2023년 5월 28일 발행된 상품발주서 외에 이에 준하는 매입전표, 세금계산서 등을 통해 상품을 발주할 수 있으며, 이러한 서면에는 제1항과 제2항에서 필요로 하는 배송기간, 품목, 수량, 단가, 지불액 등의 사항이 기재되어야 한다.",0
"④ ""갑""은 상품발주서가 2022년 5월 30일의 납품기일 이전에 ""을""에게 도달하도록 하여야 하며, 상품발주서가 ""을""에게 도달하기 이전에 상품을 제조·주문하게 하여서는 아니된다.",0
"제6조[검수기준 및 품질검사] 제공받은 제품은 2022년 9월 15일을 기준으로 7일 이내에 완벽히 검수되어야하며, 이 기간동안 검사와 관련된 거부, 중단, 연기 등은 허용되지 않습니다.",0
"""을""은 납품하는 상품에 관하여 2022년 8월 1일부터 적용되는 ""갑""의 검수기준에 따른 검수를 받아야 한다.",0
"② ""갑""은 상품의 품질, 규격, 관련 법령의 허용기준 등 ""을""이 2022년 10월 21일에 납품하는 상품에 관한 검수기준을 사전에 2022년 10월 10일까지 ""을""에게 서면(「전자문서 및 전자거래기본법」 제2조제1호의 전자문서를 포함한다)으로 명확하게 알려야 한다.",0
"③ ""갑""은 ""을""이 2023년 5월 30일에 납품하는 상품에 대하여 품질검사 및 성분검사가 필요한 경우 ""을""에게 해당 검사를 요구할 수 있다. 이 경우 ""을""은 공인된 검사기관으로부터 검사를 받은 후 검사결과를 해당 상품의 2023년 5월 29일 납품 전에 ""갑""에게 제출한다.",0
"④ 제3항에 따른 검사비용은 ""을""이 부담한다. 다만 2022년 3월 10일 출하된 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분검사가 필요하지 않았다고 인정될 수 있는 경우에는 그러하지 아니하다.",0
"⑤ 품질검사 및 성분검사 결과 ""을""이 2022년 6월 15일에 납품한 상품이 법적기준을 충족시키지 못하여 불합격 또는 부적합 판정을 받은 경우 ""갑""은 해당 상품의 납품중지 및 15일의 기간을 정하여 시정을 요구할 수 있으며, ""을""이 시정요구에 불응할 경우 계약을 해지 또는 해제할 수 있다.",0
"⑥ ""을""은 검수과정에서 불합격된 상품에 대해서 확인하고, 불합격판정 통보일로부터 7일 내에 ""을""의 부담으로 인수하여야 한다. 단, 지정일 내에 ""을""이 불합격된 상품을 인수하지 않는 경우, ""갑""은 ""을""의 부담으로 ""을""에게 반송하거나 적절한 방법으로 처리할 수 있다.",0
"제7조[상품의 납품] 판매자는 2023년 5월 30일까지 구매자에게 상품을 납품하여야 하며, 이를 지연할 경우 매 지연일에 대하여 거래금액의 3%의 지체상금을 지급하여야 한다.",0
"""갑""이 2023년 5월 20일로 명시된 제5조의 상품발주서를 작성하여 ""을""에게 교부하는 경우, ""을""은 지정된 납품기일인 2023년 6월 20일에 해당하는 장소에 차질 없이 상품을 납품하여야 한다. 단, 부득이한 사유로 납품기일에 상품의 납품이 불가능한 경우에는 해당 기일의 전일인 2023년 6월 19일까지 ""갑""에게 납품 기한의 연장을 요청하여 사전 승인을 받아야 한다.",0
"② ""을""은 ""갑""에게 「품질경영 및 공산품안전관리법」, 「대외무역법」, 「식품위생법」, 「농수산물품질관리법」, 「상표법」, 「특허법」, 「디자인보호법」, 「표시·광고의 공정화에 관한 법률」 등 관련 법령의 규정을 준수하여 2022년 5월 7일부터 2023년 5월 6일까지 상품을 납품하여야 한다.",0
"③ ""갑""은 ""을""이 2022년 5월 1일에 상품을 납품하면 제6조의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 ""을""이 이 계약에 따라 500만원 대금을 지체 없이 수령한다.",0
"1. 2022년 4월 30일에 납품받은 상품이 ""을""의 책임 있는 사유로 인하여 훼손된 경우",0
2. 2023년 5월 23일에 납품받은 상품에 하자가 있는 경우,0
"3. 2022년 8월 15일에 납품받은 상품이 ""갑""이 주문한 상품과 다른 경우",0
