article_number,clause_number,sub_clause_number,unfair_label,law_article,content
22,1,0,0,0,
22,1,1,0,0,
22,1,2,0,0,
22,1,3,0,0,
22,1,4,0,0,
22,2,0,0,0,
22,1,0,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 여기에서 서면 통지란 전자문서 및 전자거래 기본법 제2조 제1호의 전자문서를 포함한다. 예를 들어, '프리미엄 클래식 시계'의 구매 후 제품에 하자가 발생하는 경우, 즉시 해당 하자 발생 사실과 증빙을 함께 해당 거래 상대방에게 전달하여야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달해야만 그 효력이 발생한다."
22,1,1,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 여기에서 서면 통지란 전자문서 및 전자거래 기본법 제2조 제1호의 전자문서를 포함한다. 예를 들어, '프리미엄 클래식 시계'의 구매 후 제품에 하자가 발생하는 경우, 즉시 해당 하자 발생 사실과 증빙을 함께 해당 거래 상대방에게 전달하여야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달해야만 그 효력이 발생한다."
22,1,2,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 여기에서 서면 통지란 전자문서 및 전자거래 기본법 제2조 제1호의 전자문서를 포함한다. 예를 들어, '프리미엄 클래식 시계'의 구매 후 제품에 하자가 발생하는 경우, 즉시 해당 하자 발생 사실과 증빙을 함께 해당 거래 상대방에게 전달하여야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달해야만 그 효력이 발생한다."
22,1,3,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 여기에서 서면 통지란 전자문서 및 전자거래 기본법 제2조 제1호의 전자문서를 포함한다. 예를 들어, '프리미엄 클래식 시계'의 구매 후 제품에 하자가 발생하는 경우, 즉시 해당 하자 발생 사실과 증빙을 함께 해당 거래 상대방에게 전달하여야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달해야만 그 효력이 발생한다."
22,1,4,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 여기에서 서면 통지란 전자문서 및 전자거래 기본법 제2조 제1호의 전자문서를 포함한다. 예를 들어, '프리미엄 클래식 시계'의 구매 후 제품에 하자가 발생하는 경우, 즉시 해당 하자 발생 사실과 증빙을 함께 해당 거래 상대방에게 전달하여야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달해야만 그 효력이 발생한다."
