sentence,unfair_label,law_article,article_number
① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 철저한 검수를 진행하여야 한다. 이때 갑은 검수를 원활히 수행하기 위해 을에게 샘플을 요청할 수 있다.,0,0,5
"② 갑은 '프리미엄 시계'의 품질, 규격, 그리고 관련 법령의 허용 기준 등을 납품하는 '프리미엄 시계'에 관한 검수 기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 명확히 안내해야 한다.",0,0,5
③ 갑은 을이 납품하는 시계에 대하여 품질검사 및 성분검사가 필요한 경우 을에게 해당 검사를 요구할 수 있다. 이 경우 을은 공인된 검사기관으로부터 검사를 받은 후 검사결과를 해당 시계의 납품 전에 갑에게 제출한다.,0,0,5
④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우로서 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사비용을 부담한다.,0,0,5
④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우로서 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사비용을 부담한다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우,0,0,5
④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우로서 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사비용을 부담한다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분검사가 필요하지 않았다고 인정될 수 있는 경우,0,0,5
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품을 중지하고, 적절한 기간을 정하여 시정을 요구할 수 있으며, 을이 이러한 시정 요구에 불응할 경우 계약을 해지할 수 있다.",0,0,5
① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 실시하여야 한다. 이때 갑은 검수를 위하여 을에게 샘플을 요청할 수 있다.,0,0,5
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 을이 납품하는 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 명확하게 통지해야 한다.",0,0,5
"④ 제3항에 따라 발생하는 검사비용은 을이 부담한다. 그러나 제3항에 명시된 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우, 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사비용을 부담하게 된다.",0,0,5
"④ 제3항에 따라 발생하는 검사비용은 을이 부담한다. 그러나 제3항에 명시된 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우, 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사비용을 부담하게 된다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우",0,0,5
"④ 제3항에 따라 발생하는 검사비용은 을이 부담한다. 그러나 제3항에 명시된 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우, 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사비용을 부담하게 된다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분검사가 필요하지 않았다고 인정될 수 있는 경우",0,0,5
"⑤ 품질검사와 성분검사 결과을이 납품한 시계가 법적 기준을 만족하지 못하여 불합격 또는 부적합 판정을 받게 되는 경우 갑은 해당 시계에 대한 납품을 중지하고, 적절한 기간을 정하여 시정을 요구할 수 있으며, 을이 이러한 시정 요구에 불응할 경우 계약을 해지할 수 있다.",0,0,5
① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 실시하여야 한다. 이때 갑은 검수를 위하여 을에게 샘플 시계를 요구할 수 있다.,0,0,5
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 이 납품하는 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 명확하게 통보해야 한다.",0,0,5
"④ 제3항에 따라 발생하는 검사 비용은 을의 책임 하에 있다. 그러나 제3항에 의거한 품질 검사 및 성분 검사의 결과, 을이 납품한 시계가 법적 기준을 충족하여 합격 혹은 적합 판정을 받는 경우, 다음의 각 항목 중 하나에 해당할 때는 갑이 검사 비용을 부담하게 된다.",0,0,5
"④ 제3항에 따라 발생하는 검사 비용은 을의 책임 하에 있다. 그러나 제3항에 의거한 품질 검사 및 성분 검사의 결과, 을이 납품한 시계가 법적 기준을 충족하여 합격 혹은 적합 판정을 받는 경우, 다음의 각 항목 중 하나에 해당할 때는 갑이 검사 비용을 부담하게 된다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우",0,0,5
"④ 제3항에 따라 발생하는 검사 비용은 을의 책임 하에 있다. 그러나 제3항에 의거한 품질 검사 및 성분 검사의 결과, 을이 납품한 시계가 법적 기준을 충족하여 합격 혹은 적합 판정을 받는 경우, 다음의 각 항목 중 하나에 해당할 때는 갑이 검사 비용을 부담하게 된다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분검사가 필요하지 않았다고 인정될 수 있는 경우",0,0,5
