article_number,clause_number,sub_clause_number,unfair_label,law_article,content
22,1,0,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면 통지하여야 하며, 여기에는 전자문서 및 전자거래 기본법 제2조제1호의 전자문서를 포함한다. 특히, 본 계약에서 다루는 제품인 '프리미엄 헤리티지 와인'이라는 술과 관련하여 문제가 발생할 경우에도 동일한 절차를 따라야 한다. 근무기간은 2023. 01. 01.부터 2025. 12. 31.까지로 하며, 중대한 사유 발생 시 즉각적으로 통지하고 필요한 증빙서류를 제출해야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 있다. 또한, 양 당사자는 '청량한 밤의 리큐르'에 대한 모든 사항에 대하여 사전에 서면으로 합의해야 하며, 이에 따른 통지가 이루어질 경우 확실한 기록으로 남겨야 한다. 마지막으로, 모든 통지의 효력은 청량한 밤의 리큐르가 상대방의 지정된 주소에 도달한 시점부터 발생한다."
22,1,1,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면 통지하여야 하며, 여기에는 전자문서 및 전자거래 기본법 제2조제1호의 전자문서를 포함한다. 특히, 본 계약에서 다루는 제품인 '프리미엄 헤리티지 와인'이라는 술과 관련하여 문제가 발생할 경우에도 동일한 절차를 따라야 한다. 근무기간은 2023. 01. 01.부터 2025. 12. 31.까지로 하며, 중대한 사유 발생 시 즉각적으로 통지하고 필요한 증빙서류를 제출해야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 있다. 또한, 양 당사자는 '청량한 밤의 리큐르'에 대한 모든 사항에 대하여 사전에 서면으로 합의해야 하며, 이에 따른 통지가 이루어질 경우 확실한 기록으로 남겨야 한다. 마지막으로, 모든 통지의 효력은 청량한 밤의 리큐르가 상대방의 지정된 주소에 도달한 시점부터 발생한다."
22,1,2,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면 통지하여야 하며, 여기에는 전자문서 및 전자거래 기본법 제2조제1호의 전자문서를 포함한다. 특히, 본 계약에서 다루는 제품인 '프리미엄 헤리티지 와인'이라는 술과 관련하여 문제가 발생할 경우에도 동일한 절차를 따라야 한다. 근무기간은 2023. 01. 01.부터 2025. 12. 31.까지로 하며, 중대한 사유 발생 시 즉각적으로 통지하고 필요한 증빙서류를 제출해야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 있다. 또한, 양 당사자는 '청량한 밤의 리큐르'에 대한 모든 사항에 대하여 사전에 서면으로 합의해야 하며, 이에 따른 통지가 이루어질 경우 확실한 기록으로 남겨야 한다. 마지막으로, 모든 통지의 효력은 청량한 밤의 리큐르가 상대방의 지정된 주소에 도달한 시점부터 발생한다."
22,1,3,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면 통지하여야 하며, 여기에는 전자문서 및 전자거래 기본법 제2조제1호의 전자문서를 포함한다. 특히, 본 계약에서 다루는 제품인 '프리미엄 헤리티지 와인'이라는 술과 관련하여 문제가 발생할 경우에도 동일한 절차를 따라야 한다. 근무기간은 2023. 01. 01.부터 2025. 12. 31.까지로 하며, 중대한 사유 발생 시 즉각적으로 통지하고 필요한 증빙서류를 제출해야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 있다. 또한, 양 당사자는 '청량한 밤의 리큐르'에 대한 모든 사항에 대하여 사전에 서면으로 합의해야 하며, 이에 따른 통지가 이루어질 경우 확실한 기록으로 남겨야 한다. 마지막으로, 모든 통지의 효력은 청량한 밤의 리큐르가 상대방의 지정된 주소에 도달한 시점부터 발생한다."
22,1,4,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면 통지하여야 하며, 여기에는 전자문서 및 전자거래 기본법 제2조제1호의 전자문서를 포함한다. 특히, 본 계약에서 다루는 제품인 '프리미엄 헤리티지 와인'이라는 술과 관련하여 문제가 발생할 경우에도 동일한 절차를 따라야 한다. 근무기간은 2023. 01. 01.부터 2025. 12. 31.까지로 하며, 중대한 사유 발생 시 즉각적으로 통지하고 필요한 증빙서류를 제출해야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 있다. 또한, 양 당사자는 '청량한 밤의 리큐르'에 대한 모든 사항에 대하여 사전에 서면으로 합의해야 하며, 이에 따른 통지가 이루어질 경우 확실한 기록으로 남겨야 한다. 마지막으로, 모든 통지의 효력은 청량한 밤의 리큐르가 상대방의 지정된 주소에 도달한 시점부터 발생한다."
22,2,0,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면 통지하여야 하며, 여기에는 전자문서 및 전자거래 기본법 제2조제1호의 전자문서를 포함한다. 특히, 본 계약에서 다루는 제품인 '프리미엄 헤리티지 와인'이라는 술과 관련하여 문제가 발생할 경우에도 동일한 절차를 따라야 한다. 근무기간은 2023. 01. 01.부터 2025. 12. 31.까지로 하며, 중대한 사유 발생 시 즉각적으로 통지하고 필요한 증빙서류를 제출해야 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 있다. 또한, 양 당사자는 '청량한 밤의 리큐르'에 대한 모든 사항에 대하여 사전에 서면으로 합의해야 하며, 이에 따른 통지가 이루어질 경우 확실한 기록으로 남겨야 한다. 마지막으로, 모든 통지의 효력은 청량한 밤의 리큐르가 상대방의 지정된 주소에 도달한 시점부터 발생한다."
22,1,0,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 이때, '프리미엄 레드 와인'과 같은 특정 음료의 품질 불량이나 배송 지연 등의 사유가 발생할 경우, 해당 사항을 즉시 통보해야 한다. (   )명, 근무기간은 2○○○. ○○. ○○.부터 2○○○. ○○. ○○.까지로 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 전달하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 발생하는 것으로 간주된다."
22,1,1,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 이때, '프리미엄 레드 와인'과 같은 특정 음료의 품질 불량이나 배송 지연 등의 사유가 발생할 경우, 해당 사항을 즉시 통보해야 한다. (   )명, 근무기간은 2○○○. ○○. ○○.부터 2○○○. ○○. ○○.까지로 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 전달하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 발생하는 것으로 간주된다."
22,1,2,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 이때, '프리미엄 레드 와인'과 같은 특정 음료의 품질 불량이나 배송 지연 등의 사유가 발생할 경우, 해당 사항을 즉시 통보해야 한다. (   )명, 근무기간은 2○○○. ○○. ○○.부터 2○○○. ○○. ○○.까지로 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 전달하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 발생하는 것으로 간주된다."
22,1,3,0,0,"
제22조 [통지의무]
① 갑과 을은 다음 각 호의 어느 하나에 해당하는 사유가 발생한 경우에는 지체 없이 증빙서류를 첨부하여 상대방에게 서면으로 통지하여야 한다. 이때, '프리미엄 레드 와인'과 같은 특정 음료의 품질 불량이나 배송 지연 등의 사유가 발생할 경우, 해당 사항을 즉시 통보해야 한다. (   )명, 근무기간은 2○○○. ○○. ○○.부터 2○○○. ○○. ○○.까지로 한다.
  1. 주소, 상호, 대표자 등 사업자등록증에 명시된 사항이 변경된 경우
  2. 자본구성에 중대한 변경이 있는 경우
  3. 개인사업자가 법인으로 변경되거나 법인이 개인사업자로 변경된 경우
  4. 그 밖에 갑과 을이 이 계약에 따른 각자의 의무를 이행함에 있어 중대한 변경을 초래할 수 있는 사유가 발생한 경우
② 이 계약과 관련한 모든 통지는 이 계약에 명시한 주소에 서면으로 전달하는 것을 원칙으로 하며, 통지가 상대방에게 도달하여야 그 효력이 발생하는 것으로 간주된다."
