sentence,unfair_label,law_acticle
"① 갑은 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구할 수 있다. 다만, 제공된 정보는 추후 갑의 판단에 따라 제3자에게 공유될 수 있다.    ",1,14
"① 갑은 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구할 수 있다. 다만, 제공된 정보는 추후 갑의 판단에 따라 제3자에게 공유될 수 있다.    1. 을이 다른 유통 플랫폼에서 판매하는 상품의 가격 및 조건에 관한 정보",1,14
"① 갑은 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구할 수 있다. 다만, 제공된 정보는 추후 갑의 판단에 따라 제3자에게 공유될 수 있다.    2. 을이 자체적으로 운영하는 프로모션의 구체적 내용(할인율, 적용 조건 등)에 관한 정보",1,14
"① 갑은 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구할 수 있다. 다만, 제공된 정보는 추후 갑의 판단에 따라 제3자에게 공유될 수 있다.    3. 을이 다른 거래처와 협의한 배송 조건 및 물류 계획에 관한 정보",1,14
"① 갑은 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구할 수 있다. 다만, 제공된 정보는 추후 갑의 판단에 따라 제3자에게 공유될 수 있다.    4. 을의 상품 판매 실적, 매출액 및 기간별 재고량 등 판매 관련 정보",1,14
"① 갑은 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구할 수 있다. 다만, 제공된 정보는 추후 갑의 판단에 따라 제3자에게 공유될 수 있다.    5. 을의 온라인 마케팅 전략(광고비, 광고 시기 등)에 관한 정보",1,14
"① 갑은 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구할 수 있다. 다만, 제공된 정보는 추후 갑의 판단에 따라 제3자에게 공유될 수 있다.    6. 을의 내부 관리 시스템의 로그인 정보, 전산망 접속 권한 등 내부 데이터 접근에 필요한 정보",1,14
"① 갑은 을에게 다음 각 호의 어느 하나에 해당하는 정보를 제공하도록 요구할 수 있다. 다만, 제공된 정보는 추후 갑의 판단에 따라 제3자에게 공유될 수 있다.    7. 그 밖에 을이나 을의 거래 상대방과의 거래에 있어 중요한 경영상 정보",1,14
"② ""갑""이 ""을""에게 제1항 각 호에 포함된 경영 정보를 요청하는 경우, 사전에 다음 내용을 서면으로 작성하여 ""을""에게 전달해야 한다.    ",0,0
"② ""갑""이 ""을""에게 제1항 각 호에 포함된 경영 정보를 요청하는 경우, 사전에 다음 내용을 서면으로 작성하여 ""을""에게 전달해야 한다.    1. 요청하는 경영정보의 구체적인 용도",0,0
"② ""갑""이 ""을""에게 제1항 각 호에 포함된 경영 정보를 요청하는 경우, 사전에 다음 내용을 서면으로 작성하여 ""을""에게 전달해야 한다.    2. 정보 보호 방안 및 정보 유출 시 손해배상에 대한 내용",0,0
"② ""갑""이 ""을""에게 제1항 각 호에 포함된 경영 정보를 요청하는 경우, 사전에 다음 내용을 서면으로 작성하여 ""을""에게 전달해야 한다.    3. 정보 요청 날짜, 제공 날짜 및 제공 방식",0,0
