article_number,clause_number,sub_clause_number,unfair_label,law_article,content
17,1,0,0,0,"
    제17조 [손해배상]
    ① 계약 당사자 중 어느 한쪽이 본 계약을 위반하여 상대방에 손해를 끼친 경우, 해당 당사자는 손해를 전액 배상할 책임이 있다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」의 규정을 어겨 “을”에게 피해를 준 경우, 해당 손해 배상액은 법률에 따라 피해 금액의 3배를 초과하지 않는 범위에서 산정된다. 다만, “갑”의 고의 또는 중과실이 없는 경우 책임이 면제될 수 있다.
"
17,2,0,0,0,"
    제17조 [손해배상]
    ① 계약 당사자 중 어느 한쪽이 본 계약을 위반하여 상대방에 손해를 끼친 경우, 해당 당사자는 손해를 전액 배상할 책임이 있다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」의 규정을 어겨 “을”에게 피해를 준 경우, 해당 손해 배상액은 법률에 따라 피해 금액의 3배를 초과하지 않는 범위에서 산정된다. 다만, “갑”의 고의 또는 중과실이 없는 경우 책임이 면제될 수 있다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 본 계약의 어느 일방이 계약을 위반하여 상대방에게 손해를 입힌 경우, 그 당사자는 손해 전액을 배상할 책임이 있다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손해를 끼친 경우, 손해배상액은 법률에 따라 피해 금액의 3배를 넘지 않는 범위 내에서 산정된다. 다만, “갑”이 고의 또는 중대한 과실이 없는 경우에는 배상 책임이 면제될 수 있다.
"
17,2,0,0,0,"
    제17조 [손해배상]
    ① 본 계약의 어느 일방이 계약을 위반하여 상대방에게 손해를 입힌 경우, 그 당사자는 손해 전액을 배상할 책임이 있다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손해를 끼친 경우, 손해배상액은 법률에 따라 피해 금액의 3배를 넘지 않는 범위 내에서 산정된다. 다만, “갑”이 고의 또는 중대한 과실이 없는 경우에는 배상 책임이 면제될 수 있다.
"
17,1,0,1,17,"
    제17조 [손해배상]
    ① “갑”은 본 계약의 어떠한 조항을 위반하더라도, “을”에게 발생한 손해에 대해서는 배상 책임을 지지 않는다.
"
17,1,0,1,17,"
    제17조 [손해배상]
    ① “을”은 “갑”의 계약 위반으로 발생한 손해에 대해서도 이를 감수하며, 어떠한 경우에도 “갑”에게 배상을 청구할 수 없다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 계약 당사자 중 어느 한쪽이 본 계약을 위반하여 상대방에 손해를 끼친 경우, 해당 당사자는 손해를 전액 배상할 책임이 있다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」의 규정을 어겨 “을”에게 피해를 준 경우, “갑”은 고의 또는 과실 여부와 관계없이 “을”의 모든 손해를 배상해야 한다.
"
17,2,0,1,17,"
    제17조 [손해배상]
    ① 계약 당사자 중 어느 한쪽이 본 계약을 위반하여 상대방에 손해를 끼친 경우, 해당 당사자는 손해를 전액 배상할 책임이 있다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」의 규정을 어겨 “을”에게 피해를 준 경우, “갑”은 고의 또는 과실 여부와 관계없이 “을”의 모든 손해를 배상해야 한다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 계약 당사자 중 어느 한쪽이 본 계약을 위반하여 상대방에 손해를 끼친 경우, 해당 당사자는 손해를 전액 배상할 책임이 있다.
    ② “갑”이 법률을 위반하여 “을”에게 피해를 준 경우, “을”은 배상을 청구하기 위해 별도의 소송 절차를 거쳐야 하며, 소송 비용은 전적으로 “을”이 부담한다.
"
17,2,0,1,17,"
    제17조 [손해배상]
    ① 계약 당사자 중 어느 한쪽이 본 계약을 위반하여 상대방에 손해를 끼친 경우, 해당 당사자는 손해를 전액 배상할 책임이 있다.
    ② “갑”이 법률을 위반하여 “을”에게 피해를 준 경우, “을”은 배상을 청구하기 위해 별도의 소송 절차를 거쳐야 하며, 소송 비용은 전적으로 “을”이 부담한다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 본 계약의 의무를 이행하지 못해 상대방에게 금전적 손해를 발생시킨 “갑” 또는 “을”은 그에 따른 배상 책임을 진다.
    ② 만일 “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손실을 입혔다면, 그 배상액은 피해 금액의 최대 3배 이내에서 산정될 수 있다. 단, “갑”의 과실이나 고의적인 행동이 없는 경우에는 예외로 한다.
"
17,2,0,0,0,"
    제17조 [손해배상]
    ① 본 계약의 의무를 이행하지 못해 상대방에게 금전적 손해를 발생시킨 “갑” 또는 “을”은 그에 따른 배상 책임을 진다.
    ② 만일 “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손실을 입혔다면, 그 배상액은 피해 금액의 최대 3배 이내에서 산정될 수 있다. 단, “갑”의 과실이나 고의적인 행동이 없는 경우에는 예외로 한다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 계약 당사자가 본 계약의 의무를 위반하여 상대방에게 손실을 입힌 경우, 그 당사자는 해당 손실에 대해 전액 배상할 의무를 진다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반함으로써 “을”에게 피해를 준 경우, 배상 금액은 피해액의 최대 3배를 초과하지 않는 범위에서 결정된다. 다만, “갑”에게 고의나 중대한 과실이 없는 경우에는 배상 책임을 지지 않을 수 있다.
"
17,2,0,0,0,"
    제17조 [손해배상]
    ① 계약 당사자가 본 계약의 의무를 위반하여 상대방에게 손실을 입힌 경우, 그 당사자는 해당 손실에 대해 전액 배상할 의무를 진다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반함으로써 “을”에게 피해를 준 경우, 배상 금액은 피해액의 최대 3배를 초과하지 않는 범위에서 결정된다. 다만, “갑”에게 고의나 중대한 과실이 없는 경우에는 배상 책임을 지지 않을 수 있다.
"
17,1,0,1,17,"
    제17조 [손해배상]
    ① “을”은 계약 이행과 무관하게 “갑”이 주장하는 모든 손해를 배상할 의무가 있으며, 손해의 발생 원인이나 경위를 불문한다.
"
17,1,0,1,17,"
    제17조 [손해배상]
    ① “갑”은 계약상의 의무를 이행하지 않아도, “을”은 이에 대한 이의를 제기하거나 손해 배상을 요구할 수 없다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 본 계약의 의무를 이행하지 못해 상대방에게 금전적 손해를 발생시킨 “갑” 또는 “을”은 그에 따른 배상 책임을 진다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 피해를 입힌 경우, “을”은 손해를 입증하지 못하면 배상 청구를 할 수 없다.
"
17,2,0,1,17,"
    제17조 [손해배상]
    ① 본 계약의 의무를 이행하지 못해 상대방에게 금전적 손해를 발생시킨 “갑” 또는 “을”은 그에 따른 배상 책임을 진다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 피해를 입힌 경우, “을”은 손해를 입증하지 못하면 배상 청구를 할 수 없다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 본 계약의 의무를 이행하지 못해 상대방에게 금전적 손해를 발생시킨 “갑” 또는 “을”은 그에 따른 배상 책임을 진다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손실을 입혀도 손해 배상액은 “갑”의 동의가 있을 경우에만 지급된다.
"
17,2,0,1,17,"
    제17조 [손해배상]
    ① 본 계약의 의무를 이행하지 못해 상대방에게 금전적 손해를 발생시킨 “갑” 또는 “을”은 그에 따른 배상 책임을 진다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손실을 입혀도 손해 배상액은 “갑”의 동의가 있을 경우에만 지급된다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① “갑”과 “을” 중 한쪽이 본 계약을 위반하여 상대방이 손해를 입은 경우, 위반한 당사자는 해당 손해를 배상해야 한다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」의 조항을 어겼을 경우, 이를 통해 발생한 “을”의 손해에 대해 배상하며, 배상액은 법적으로 허용된 범위(최대 3배) 내에서 결정된다. 다만, “갑”에게 고의성이나 중대한 과실이 없을 경우는 책임을 지지 않는다.
"
17,2,0,0,0,"
    제17조 [손해배상]
    ① “갑”과 “을” 중 한쪽이 본 계약을 위반하여 상대방이 손해를 입은 경우, 위반한 당사자는 해당 손해를 배상해야 한다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」의 조항을 어겼을 경우, 이를 통해 발생한 “을”의 손해에 대해 배상하며, 배상액은 법적으로 허용된 범위(최대 3배) 내에서 결정된다. 다만, “갑”에게 고의성이나 중대한 과실이 없을 경우는 책임을 지지 않는다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 계약 당사자 중 한 명이 계약의 의무를 위반하여 상대방에게 손해를 끼친 경우, 위반한 자는 그 손해를 배상할 책임이 있다.
    ② 만약 “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손해를 초래했다면, 그 배상액은 피해 금액의 3배를 넘지 않는 범위 내에서 산정된다. 그러나, “갑”에게 고의나 중대한 과실이 없을 경우, 배상 책임은 면제될 수 있다.
"
17,2,0,0,0,"
    제17조 [손해배상]
    ① 계약 당사자 중 한 명이 계약의 의무를 위반하여 상대방에게 손해를 끼친 경우, 위반한 자는 그 손해를 배상할 책임이 있다.
    ② 만약 “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손해를 초래했다면, 그 배상액은 피해 금액의 3배를 넘지 않는 범위 내에서 산정된다. 그러나, “갑”에게 고의나 중대한 과실이 없을 경우, 배상 책임은 면제될 수 있다.
"
17,1,0,1,17,"
    제17조 [손해배상]
    ① “갑”과 “을” 간의 거래에서 발생한 손해는 전적으로 “을”의 귀책 사유로 간주하며, 손해 배상액 산정 시 “갑”의 책임은 제외한다.
"
17,1,0,1,17,"
    제17조 [손해배상]
    ① “을”은 본 계약과 관련하여 발생하는 모든 손실과 비용을 전적으로 부담하며, “갑”은 이에 대한 책임을 지지 않는다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① “갑”과 “을” 중 한쪽이 본 계약을 위반하여 상대방이 손해를 입은 경우, 위반한 당사자는 해당 손해를 배상해야 한다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 발생한 손해에 대해, “을”은 배상액을 요구하더라도 법률상 정해진 기준의 50% 이내로만 청구할 수 있다.
"
17,2,0,1,17,"
    제17조 [손해배상]
    ① “갑”과 “을” 중 한쪽이 본 계약을 위반하여 상대방이 손해를 입은 경우, 위반한 당사자는 해당 손해를 배상해야 한다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 발생한 손해에 대해, “을”은 배상액을 요구하더라도 법률상 정해진 기준의 50% 이내로만 청구할 수 있다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① “갑”과 “을” 중 한쪽이 본 계약을 위반하여 상대방이 손해를 입은 경우, 위반한 당사자는 해당 손해를 배상해야 한다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」의 조항을 어겼을 경우, “을”은 발생한 손해를 증명할 책임을 전적으로 부담하며, 증명이 불충분할 경우 배상 청구를 할 수 없다.
"
17,2,0,1,17,"
    제17조 [손해배상]
    ① “갑”과 “을” 중 한쪽이 본 계약을 위반하여 상대방이 손해를 입은 경우, 위반한 당사자는 해당 손해를 배상해야 한다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」의 조항을 어겼을 경우, “을”은 발생한 손해를 증명할 책임을 전적으로 부담하며, 증명이 불충분할 경우 배상 청구를 할 수 없다.
"
17,1,0,0,0,"
    제17조 [손해배상]
    ① 본 계약의 조항을 위반한 “갑” 또는 “을”이 상대방에게 피해를 준 경우, 해당 당사자는 발생한 손해를 배상해야 한다.
    ② “갑”이 「대규모유통업에서의 거래 공정화에 관한 법률」을 위반하여 “을”에게 손실을 발생시켰다면, 손해 배상액은 해당 법률에 의거하여 피해 금액의 3배를 넘지 않는 범위에서 결정된다. 단, 고의나 중대한 과실이 입증되지 않는 한 배상 책임은 면제될 수 있다.
"
