input,summary
제1조 [목적] 이 계약서의 작성 목적은 갑과 을 간 상품의 직매입거래(갑이 매입 한 상품 중 판매되지 아니한 상품에 대한 판매책임을 부담하고 을로부터 상 품을 매입하는 형태의 거래를 말한다)에서 양 당사자 사이의 기본적인 권리와  의무를 정하기 위함에 있다.,"제1조 [목적] 이 계약은 갑과 을 간 직매입거래의 기본적인 권리와 의무를 정하는 것을 목적으로 한다. 갑은 판매되지 않은 상품의 책임을 부담하며, 을로부터 상품을 매입한다."
제2조 [기본원칙] ① 갑과 을은 상호이익을 존중하고 이 계약상 의무를 신의에 따라 성실 히 이행함으로써 상호 공정한 거래관계와 동반성장을 추구한다.  ② 갑과 을은 이 계약의 이행과 관련하여 「대규모유통업에서의 거래  공정화에 관한 법률」 및 그 시행령 등 관련 법령의 규정을 준수한다.  ③ 을이 수입 명품 브랜드를 보유하는 등 갑이 을에 대하여 거래상  우월적 지위에 있다고 인정되지 아니할 경우에는 이 표준거래계약서의 내용을  거래 현실에 맞게 수정하여 사용할 수 있다.,"제2조 [기본원칙] 갑과 을은 상호이익을 존중하고 성실히 계약을 이행하며, 공정거래법을 준수한다. 을이 수입 명품 브랜드 등을 보유하여 갑의 우월적 지위가 인정되지 않는 경우, 계약 내용을 조정할 수 있다."
"제3조 [공정거래 준수 및 동반성장 지원] ① 갑과 을은 공정하고 투명한 거래를 위하여 다음 각 호의 내용을 준 수한다.   1. 상대방에게 금품, 향응, 편의 또는 접대를 요구하거나 제공해서는 아니 되며,  위법하거나 부당한 행위를 하지 아니한다.   2. 거래상 우월적 지위를 남용하여 공정한 거래질서에 반하는 행위를 요구하지  아니한다.   ② 갑은 을과의 동반성장을 위하여 을의 재무건전화, 기술개발 촉진,  근무환경개선 등을 위한 다양한 지원프로그램을 마련하여 지원하는데 노력한다.","제3조 [공정거래 준수 및 동반성장 지원] 제2조 [기본원칙] 갑과 을은 상호이익을 존중하고 성실히 계약을 이행하며, 공정거래법을 준수한다. 을이 수입 명품 브랜드 등을 보유하여 갑의 우월적 지위가 인정되지 않는 경우, 계약 내용을 조정할 수 있다."
"제4조 [상품의 납품] ① 을이 갑에게 납품하여야 하는 상품의 종류, 수량 및 가격과 상품의  납품장소ㆍ납품기일은 [별지]와 같다. 상품의 종류, 수량 및 가격과 납품장소ㆍ 납품기일은 발주의뢰서, 매입전표, 세금계산서 등으로 대신할 수 있다.  ② 을은 제1항에 따른 납품기일 및 장소에 차질 없이 상품을 납품하여야  하며, 부득이한 사유로 제1항에 따른 납품기일에 상품의 납품이 불가능한 경우에 는 해당 기일의 전일까지 갑에게 납품 기한의 연장을 요청하여 사전 승인을  받아야 한다.  ③ 을은 갑에게 「주세법」, 「대외무역법」, 「식품위생법」, 「상표 법」, 「특허법」, 「디자인보호법」, 「표시·광고의 공정화에 관한 법률」 등  관련 법령의 규정을 준수하여 상품을 납품하여야 한다.  ④ 갑은 을이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를  마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이  계약에 따라 납품하는 상품을 지체 없이 수령한다.   1. 납품받은 상품이 을의 책임 있는 사유로 인하여 훼손된 경우   2. 납품받은 상품에 하자가 있는 경우   3. 납품받은 상품이 갑이 주문한 상품과 다른 경우   4. 일정한 기간 동안 주로 판매되는 상품으로 해당 기간을 넘겨 납품한 경우   5. 그 밖에 제1호부터 제4호까지의 규정에 준하는 사유로 갑이 상품의 수령 을 지체하거나 거부할 수 있는 정당한 사유가 있는 경우  ⑤ 을은 다음 각 호의 경우에 갑과 협조하여 필요한 조치를 강구한다.    1. 을의 책임 있는 사유로 납품한 상품이 오손 또는 훼손되거나 상품에 하 자가 있는 경우   2. 을이 이 계약의 내용과 다르게 상품을 납품하는 경우  ⑥ 갑은 납품과 관련하여 을에게 정당한 사유 없이 다음 각 호의 행위 를 해서는 아니 되며, 이 경우 을이 갑의 요구에 응하지 않더라도  갑은 을에게 이에 관한 책임을 물을 수 없다.   1. 통상적인 시장의 납품 가격보다 현저히 낮은 가격으로 납품하게 하는 행위   2. 판촉행사의 실시를 목적으로 통상의 납품수량보다 현저히 많은 수량을 납품 하게 하는 행위   3. 한시적으로 인하하기로 약정한 납품 가격을 기한이 경과한 후에도 정상가격 으로 환원하지 아니하거나 환원을 지연하는 행위   4. 유통업체가 매월 일정 이익율 확보를 위해 필요한 금액을 계산한 후 해당  금액을 확보하기 위해 납품금액 가격 인하를 요구하는 경우","제4조 [상품의 납품] 을은 계약된 상품을 정해진 기한과 장소에 납품해야 하며, 지연이 예상될 경우 사전 승인받아야 한다. 납품된 상품은 관련 법령을 준수해야 하며, 갑은 검수 후 문제가 없으면 지체 없이 수령한다. 다만, 상품이 훼손되었거나 주문과 다를 경우 수령을 거부할 수 있다. 또한, 을이 잘못된 상품을 납품하면 갑과 협력하여 해결해야 한다. 갑은 을에게 부당하게 낮은 가격을 강요하거나 과도한 수량 납품을 요구하는 등의 불공정 행위를 해서는 안 된다."
"제5조 [검수기준 및 품질검사] ① 갑은 납품받는 상품에 관하여 갑의 검수기준에 따른 검수를 하여야  한다. 이때 갑은 검수를 위하여 을에게 샘플을 요구할 수 있다.   ② 갑은 상품의 품질, 규격, 관련 법령의 허용기준 등 을이 납품하는  상품에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본 법」 제2조제1호의 전자문서를 포함한다)으로 명확하게 알려야 한다.  ③ 갑은 을이 납품하는 상품에 대하여 품질검사 및 성분검사가 필요한  경우 을에게 해당 검사를 요구할 수 있다. 이 경우 을은 공인된 검사기 관으로부터 검사를 받은 후 검사결과를 해당 상품의 납품 전에 갑에게 제출  한다.  ④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및  성분검사 결과 을이 납품한 상품이 법적 기준을 충족하여 합격 또는 적합  판정을 받은 경우로서 다음 각 호의 어느 하나에 해당하는 경우에는 갑이  검사비용을 부담한다.   1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사  또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우   2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품 질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분 검사가 필요하지 않았다고 인정될 수 있는 경우  ⑤ 품질검사 및 성분검사 결과 을이 납품한 상품이 법적기준을 충족시키지  못하여 불합격 또는 부적합 판정을 받은 경우 갑은 해당 상품의 납품중지  및 상당한 기간을 정하여 시정을 요구할 수 있으며, 을이 시정요구에 불응할  경우 계약을 해지할 수 있다.","제5조 [검수기준 및 품질검사] 갑은 납품된 상품을 검수하며, 필요 시 을에게 샘플을 요구할 수 있다. 검수 기준은 사전에 서면으로 제공되며, 품질·성분 검사가 필요한 경우 을이 공인기관에서 검사 후 결과를 제출해야 한다. 검사 비용은 원칙적으로 을이 부담하지만, 기존 검사 결과가 있거나 추가 검사가 불필요한 경우 갑이 부담할 수 있다. 검사 결과 상품이 기준을 충족하지 못하면 갑은 시정을 요구할 수 있으며, 미이행 시 계약을 해지할 수 있다."
"제6조 [납품대금 지급 및 감액금지] ① 갑은 납품대금을 상품 입고일부터 60일 이내에 현금, 기업구매 전용카드 와 같은 현금성 결제수단으로 지급한다. 단, 해외 상품을 직매입하는 경우나  을의 서류 제공, 업무 처리 지연 등 갑의 귀책사유가 아닌 사유로 대금  지급이 지연된 경우에는 그러하지 아니하다.   ② 갑이 제1항에서 정한 기간을 넘겨서 납품대금을 지급하는 경우에는 그  초과 기간에 대하여 공정거래위원회가 고시하는 상품판매대금 지연지급 시  지연이율에 따른 이자를 지급한다.   ③ 갑은 을에게 납품받은 상품의 대금을 감액하거나, 상품 또는 상품권 으로 지급하지 아니한다.  ④ 갑은 제3항에도 불구하고 다음 각 호의 어느 하나에 해당하는 경우에는  납품받은 날부터 거래관행상 합리적이라고 인정되는 기간 안에서 을과 서면 으로 합의한 후에 감액할 수 있다. 다만, 해당 상품이 시간이 지남에 따라 부패 하기 쉬운 특성을 지닌 신선상태의 농산물ㆍ수산물ㆍ축산물로서 건조ㆍ염장 등  가공을 하지 아니한 상품(이하 신선농ㆍ수ㆍ축산물이라 한다)인 경우에는 해 당 상품의 대금은 갑이 납품받은 시점부터 상품의 검수 및 매입을 마치기  전까지의 기간(특별한 사유가 없으면 2일을 초과할 수 없다)에만 감액할 수 있 다.   1. 납품받은 상품이 계약한 상품과 다른 경우   2. 을의 책임 있는 사유로 인하여 오손ㆍ훼손된 경우   3. 납품받은 상품에 하자가 있는 경우   4. 제1호부터 제3호까지에 준하는 정당한 사유가 있는 경우  ⑤ 갑은 을과 합의하여 이 계약에 따라 갑이 을에게 지급하여야  하는 상품대금에서 을이 갑에게 지급하여야 하는 비용을 공제한 후 지급 할 수 있다. 이 경우 갑은 공제 내역을 을에게 사전에 서면으로 통지한다.","제6조 [납품대금 지급 및 감액금지] 갑은 상품 입고 후 60일 이내에 현금성 결제수단으로 대금을 지급해야 하며, 지연 시 지연이자를 지급한다. 상품 대금 감액은 원칙적으로 금지되지만, 상품이 계약과 다르거나 하자가 있는 경우 서면 합의 후 감액할 수 있다. 또한, 을이 갑에게 지급해야 할 비용이 있는 경우, 사전 통지 후 대금에서 공제할 수 있다."
"제6조의2 [공급원가 변동에 따른 납품 가격의 조정] ①을은 계약 체결 이후 최저임금 인상, 원재료가격 상승 등으로 인해 납품하는  상품의 공급원가가 변동되어 납품 가격 조정이 불가피한 경우에는 다음 각 호 서 류를 첨부하여 갑에게 납품 가격 조정을 신청할 수 있다. ※ 계약서상을이납품가격을실질적으로조정할수있는내용(예시: 납품 가격은을이결정한다.)이별도조항으로반영된경우이조항제외가능   1. 납품 가격 조정 대상이 되는 상품의 공급원가 변동, 공급조건 변화 등을 확인  할 수 있는 서류   2. 그 밖에 납품 가격 조정에 필요한 서류  ② 갑은 제1항에 따른 신청이 있은 날부터 10일 안에 을과 협의를 개시하여야 하 며, 정당한 사유 없이 협의를 거부하거나 게을리하여서는 아니 된다. 단, 을이  제1항에 따른 첨부서류를 제공하지 않는 경우에는 그러하지 아니하다.  ③ 제2항에 따른 협의 결과 갑과 을이 계약서 내용 변경에 합의하는 경우 갑은 계 약 변경사항이 명시된 서면을 을에게 주어야 한다. 이 때 서면에는 갑과 을이 각 각 서명 또는 기명날인하여야 한다.  ④ 갑 또는 을은 다음 각 호의 어느 하나에 해당하는 경우 대규모유통업거래 분쟁 조정협의회에 조정을 신청할 수 있다.    1. 제1항에 따른 신청이 있은 날부터 30일 안에 갑과 을이 합의에 도달하지 아니 한 경우   2. 제1항에 따른 신청으로 인한 협의개시 이후 갑 또는 을이 협의 중단의 의사를  밝힌 경우 등 합의에 도달하지 못할 것이 명백히 예상되는 경우","제6조의2 [공급원가 변동에 따른 납품 가격의 조정] 을은 원가 상승 등으로 납품 가격 조정이 필요할 경우 증빙 서류와 함께 갑에게 신청할 수 있다. 갑은 신청 후 10일 내 협의를 시작해야 하며, 협의 후 계약 변경 시 이를 서면으로 작성하여 을에게 제공해야 한다. 합의되지 않으면 30일 후 분쟁조정협의회에 조정을 신청할 수 있다."
"제7조 [상품의 반품] ① 갑은 정당한 사유 없이 을로부터 매입한 상품의 전부 또는 일부를  을에게 반품(매입한 상품을 다른 상품과 바꾸는 등 실질적으로 반품이 되는  경우를 포함한다)할 수 없다. 다만, 다음 각 호의 어느 하나에 해당하는 경우로 서 거래관행상 합리적이라고 인정되는 기간 안에 반품하는 경우에는 정당한 사 유가 있는 것으로 추정한다.   1. 납품받은 상품에 을의 책임 있는 사유로 인한 오손, 훼손 또는 하자가  있는 경우   2. 납품받은 상품이 주문한 상품과 다른 경우    3. 납품받은 상품을 반품함으로써 생기는 손실을 갑이 부담하고 을의  사전 동의를 받은 경우   4. 한정판 프리미엄 와인 선물세트, 계절 한정 주류 등 일정한 기간이나 계절에  집중적으로 판매되는 상품에 대하여 다음 조건에 따라 반품하는 경우 반품기한 납품일로부터 30일 이내 반품수량 최소 반품 수량 20병, 전체 납품 수량의 30% 이내 반품장소 서울특별시 강남구 테헤란로 123, ABC 물류센터 반품비용의부담자 상품의 하자: 을 . 단순 변심, 재고 초과: 갑   5. 신ㆍ구 상품의 교체, 시장테스트 상품의 반품 등 을이 자기에게 직접적 으로 이익이 된다고 판단하여 반품일 이전에 자발적으로 반품을 서면으로 요 청한 경우. 이 경우, 을은 해당 반품이 자기에게 직접적으로 이익이 된 다는 객관적인 근거자료를 갑에게 제출한다.   6. 납품받은 상품이 위조물이거나 타인의 지식재산권을 침해하는 등으로 법령  또는 행정 지침을 위반하여 적법한 상품판매가 불가능한 경우   7. 수입 명품 브랜드 등 해당 브랜드 정책에 따라 반품이 이루어지고, 갑이  을에게 반품 관련 서류를 요구하거나 수취하기 어려운 특별한 사정이 있 는 경우   8. 제1호부터 제7호까지의 규정에 준하는 정당한 사유가 있는 경우  ② 다음 각 호의 어느 하나에 해당하는 경우와 같이 사회 통념상 을이 반품을  요청할 가능성이 거의 없는 경우에는 을이 제1항 제5호에 따라 반품 요청을  하였다고 하더라도 특별한 사정이 없는 한 을에게 반품할 수 없다.   1. 갑이 전시 등에 사용하여 상품 가치가 현저히 훼손된 상품에 대한 반품.  (단, 납품업자가 고급 브랜드 이미지 유지 등을 위해 할인판매를 원하지 않 아 자발적으로 반품을 요청한 경우는 제외)   2. PB상품 등 갑만을 위해 생산하여 납품하거나 갑의 상표권을 부착하여  생산한 제품으로 갑이외의 다른 유통채널로 판매가 어려운 상품에 대한  반품   3. 갑이 을과 협의 없이 점포 또는 매장을 리뉴얼하여 발생한 재고  처리를 위한 반품 등 갑의 귀책사유로 인한 반품       ③ 제1항제1호 및 제2호에 따른 반품 기간은 납품일로부터 30일 이내로 한다. 다 만, 납품일에 제1항제1호 및 제2호에 해당하는 사유를 외견상 즉시 발견할 수 없는  합리적인 사유가 있는 경우에는 상호 별도의 합의로 그 기간을 연장할 수 있다.  ④ 제3항에도 불구하고 제1항제1호 및 제2호에 따라 주류 상품을 반품하는 경우 에는 갑이 납품받은 시점부터 해당 상품의 검수 및 매입을 마치기 전까지의  기간(특별한 사유가 없으면 7일을 초과할 수 없다)에만 반품할 수 있다.  ⑤ 갑은 반품에 대한 기준과 절차를 사전에 자신의 홈페이지 등 을이 상 시 접근 가능한 매체수단에 공지하거나, 계약체결 시 별도의 서면으로 을에 게 통지한다. 또한 동 기준이 변경되었을 경우에도 같은 방법으로 을에게  통지한다.","제7조 [상품의 반품] 갑은 정당한 사유 없이 상품을 반품할 수 없으며, 하자, 주문과 다른 상품, 법령 위반 등 특정 사유에 한해 반품이 가능하다. 반품 시 갑은 비용 부담 여부를 명확히 하며, 을의 동의를 받아야 한다. 을이 자발적으로 요청한 반품도 객관적 근거가 필요하다. 특정 상품(PB상품, 전시 상품 등)은 반품이 제한되며, 반품 요청은 서면 제출이 원칙이다. 갑이 부당한 반품을 지속하면 을은 이를 거부할 수 있으며, 반품 기준은 사전에 공지해야 한다."
"제8조 [판매장려금] ① 갑은 상품의 판매촉진을 위하여 다음 조건에 따라 을로부터 판매장 려금을 수령할 수 있다.  ② 제1항의 판매장려금률(액)의 결정기준ㆍ결정절차 및 변경사유ㆍ변경기준ㆍ변 경절차는 각각 다음과 같다.   1. 결정기준: 을의 상품 매출 실적에 따라 결정 명칭 종류 지급목적 지급시기 지급횟수 판매장려금률(액) 판매 인센티브 성과장려금 갑이  일정한  양 이상의 상품을  판매 시 판매독려 성과  달성 시 연 4회 초과판매액의  5% 판매 인센 티브 매장활성화 보조금 을의 제품홍보  및 소비자 인식 확 대를 돕는 목적 분기  분기별 1 회 100만원    2. 결정절차: 갑이 매출 및 판매 실적 평가, 을이 실적 및 판매데이터  검토, 합의 후 지급 금액 산정   3. 변경사유: 매출 실적 변경, 프로모션 실패, 외부 변수, 법적 요견 변경   4. 변경기준: 매출 목표 초과 달성, 판매량 증가, 프로모션 성과   5. 변경절차: 갑이 장려금 지급 후 실적 재검토 후 을에 통보. 그 후  협의 및 재조정  ③ 갑은 계약기간 중 정당한 사유 없이 제1항의 판매장려금과 관련한 사항을  을에게 불리하게 변경하거나, 을에게 제1항의 판매장려금 외에 자기 또는  제3자를 위하여 금전, 물품, 용역, 그 밖의 경제적 이익을 제공하게 하지 아니한다.","제8조 [판매장려금] 갑은 상품 판매 촉진을 위해 을로부터 판매장려금을 받을 수 있으며, 판매 성과와 시즌별 실적에 따라 지급된다. 장려금율과 변경 기준은 매출액, 시장 상황 등을 고려해 결정되며, 변경 시 서면으로 통지 후 협의해야 한다. 갑은 정당한 사유 없이 장려금 조건을 을에게 불리하게 변경하거나 추가적인 경제적 부담을 요구할 수 없다."
"제9조 [판촉사원 파견 등] ① 갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하  판촉사원이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나,  갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 다 음 각 호의 어느 하나에 해당하는 경우에는 갑이 을의 판촉사원을  을이 납품하는 상품의 판매 및 관리 업무에 종사하게 할 수 있다.   1. 갑이 파견된 판촉사원의 인건비, 식비ㆍ교통비 등 각종 실비, 상품의 판 ※ 결정기준및변경기준- 갑과을 간의상품거래량및각당사자의상대방에 대한매출액이전체매출액에서차지하는비중, 거래기간, 갑의판매장려금정책 등을종합적으로감안하여실제부과하는판매장려금의수준을결정·변경하기 위한기준을기재 ※ 결정절차및변경절차- 담당MD와납품업체간의협의절차, 협의불성립시 재협의절차, 결정된판매장려금수준의통지및확인등과같은절차적사항을 기재 ※ 변경사유- 매출액의증감, 시장상황의변동과같이판매장려금률의인상/인하가 필요한사유를기재  매 및 관련 업무 종사를 위해 소요되는 비용을 부담하는 경우   2. 을이 판촉사원의 파견에 따른 예상이익과 비용의 내역 및 산출근거를 객 관적ㆍ구체적으로 명시하여 서명 또는 기명날인한 서면에 따라 갑에게  자발적으로 파견을 요청하는 경우   3. 갑이 특수한 판매기법 또는 능력을 지닌 숙련된 판촉사원을 을로부 터 파견 받는 경우  ② 제1항 단서에 해당하는 경우 을은 15명의 범위에서 판촉사원을 파견하며,  갑은 이 계약에 명시되지 않은 판촉사원의 파견을 강요하거나 파견된 판촉 사원이 갑의 고유업무에 종사하도록 해서는 아니 된다.  ③ 제2항에 따라 파견된 판촉사원은 을의 지시·명령을 받아 을이 납품 한 상품의 판매 및 관리 업무에 종사한다.  ④ 을이 파견한 판촉사원은 갑의 영업시간 동안 근무하고, 근무기간은  2023. 3. 1.부터 2023. 12. 31.까지로 한다.   ⑤ 제1항 제2호 내지 제3호에 따라 파견된 판촉사원에 관한 인건비 등의 비용은  파견사유, 을의 예상이익과 비용 등을 고려하여 갑과 을이 협의하여  부담한다.  ⑥ 을은 갑의 매장에서 상품의 판매업무 등의 수행을 위해 준수가 요구 되는 관세법 및 보세판매장 운영에 관한 고시 등 관련법규 교육을 판촉사원 에게 실시하여야 하며, 자체적인 교육이 어려울 경우 갑에게 서면으로 해당  교육을 요청할 수 있다.   ⑦ 갑은 판촉사원 파견에 대한 기준을 사전에 자신의 홈페이지 등 을이  상시 접근 가능한 매체수단에 공지하거나, 계약체결 시 별도의 서면으로 을 에게 통지한다. 또한 동 기준이 변경되었을 경우에도 같은 방법으로 을에게  통지한다.","제9조 [판촉사원 파견 등] 갑은 을의 판촉사원을 파견받아 판매 및 관리 업무를 수행할 수 있으나, 갑의 직원 인건비를 을에게 부담시키지 않는다. 판촉사원 파견은 특정 조건 하에서만 가능하며, 최대 5명까지 파견할 수 있다. 파견된 판촉사원은 을의 지시를 따르며, 근무기간과 조건은 사전에 합의한다. 을은 판촉사원에게 관련 법규 교육을 실시해야 하며, 갑은 판촉사원 파견 기준을 사전에 공지해야 한다."
