sentence,toxic_label,article_number
① 갑과 을은 다음 각 호 중 하나에 해당하는 상황이 발생할 경우 계약을 종료할 수 있다.,0,24
"① 갑과 을은 다음 각 호 중 하나에 해당하는 상황이 발생할 경우 계약을 종료할 수 있다. 1. 갑 또는 을이 발행한 어음이나 수표가 지급 거절되거나, 본인 또는 제3자의 회생·파산 신청으로 절차가 개시된 경우",0,24
① 갑과 을은 다음 각 호 중 하나에 해당하는 상황이 발생할 경우 계약을 종료할 수 있다. 2. 갑 또는 을의 주요 자산(예: 납품 대금 청구권 포함)이 강제집행 대상이 되어 계약 이행이 어려워진 경우,0,24
① 갑과 을은 다음 각 호 중 하나에 해당하는 상황이 발생할 경우 계약을 종료할 수 있다. 3. 계약된 화장품 브랜드의 제조가 중단되거나 제품 생산이 종료된 경우,0,24
"① 갑과 을은 다음 각 호 중 하나에 해당하는 상황이 발생할 경우 계약을 종료할 수 있다. 4. 을의 납품 상품이 관련 법령을 위반하거나, 라이선스 계약 종료로 인해 납품이 불가능해진 경우",0,24
① 갑과 을은 다음 각 호 중 하나에 해당하는 상황이 발생할 경우 계약을 종료할 수 있다. 5. 갑 또는 을이 관련 기관으로부터 영업 정지 또는 허가 취소 처분을 받은 경우,0,24
"② 갑과 을 중 어느 한쪽이 계약의 중요한 조항을 위반했을 경우, 상대방은 최소 30일의 시정 기간을 명시한 서면을 통해 이를 고지하며, 시정되지 않을 시 계약을 종료할 수 있다.",0,24
"③ 제1항 및 제2항 이외의 불가피한 이유로 계약 해지가 필요한 경우, 상대방에게 최소 3개월 전에 서면 통보를 해야 한다.",0,24
"④ 본 조항에 따라 계약이 종료되는 경우, 책임이 있는 당사자는 상대방에게 손해를 배상해야 한다.",0,24
"① 갑과 을은 아래 각 호 중 어느 하나에 해당하는 사유가 발생할 경우, 계약을 해제할 수 있다.",0,24
"① 갑과 을은 아래 각 호 중 어느 하나에 해당하는 사유가 발생할 경우, 계약을 해제할 수 있다. 1. 갑 또는 을이 발행한 지급 수단(어음 또는 수표)이 부도 처리되거나, 당사자 또는 제3자의 도산·파산 신청으로 인해 절차가 개시된 경우",0,24
