article_number,clause_number,sub_clause_number,unfair_label,law_article,content
15,1,0,1,15,"
    제15조 [보복조치의 금지]
    ① “갑”은 “을”이 아래의 각 상황에 해당하는 행위를 할 경우, 계약 조건을 일부 수정하거나 추가적인 의무를 부과할 수 있다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에 응하여 자료를 제출한 행위  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협조  
    "
15,1,1,0,0,"
    제15조 [보복조치의 금지]
    ① “갑”은 “을”이 아래의 각 상황에 해당하는 행위를 할 경우, 계약 조건을 일부 수정하거나 추가적인 의무를 부과할 수 있다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에 응하여 자료를 제출한 행위  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협조  
    "
15,1,2,0,0,"
    제15조 [보복조치의 금지]
    ① “갑”은 “을”이 아래의 각 상황에 해당하는 행위를 할 경우, 계약 조건을 일부 수정하거나 추가적인 의무를 부과할 수 있다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에 응하여 자료를 제출한 행위  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협조  
    "
15,1,3,0,0,"
    제15조 [보복조치의 금지]
    ① “갑”은 “을”이 아래의 각 상황에 해당하는 행위를 할 경우, 계약 조건을 일부 수정하거나 추가적인 의무를 부과할 수 있다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에 응하여 자료를 제출한 행위  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협조  
    "
15,1,4,0,0,"
    제15조 [보복조치의 금지]
    ① “갑”은 “을”이 아래의 각 상황에 해당하는 행위를 할 경우, 계약 조건을 일부 수정하거나 추가적인 의무를 부과할 수 있다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에 응하여 자료를 제출한 행위  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협조  
    "
15,1,0,1,15,"
    제15조 [보복조치의 금지]
    ① 만약 “을”이 아래에 명시된 행위를 한다면, “갑”은 입점 기회를 제한하거나 기존의 매장 조건을 불리하게 수정할 권한을 가진다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에서 자료 제출 및 협조  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협력  
    5. 그 외 법령에 따른 공정거래와 관련된 정당한 행위  
    "
15,1,1,0,0,"
    제15조 [보복조치의 금지]
    ① 만약 “을”이 아래에 명시된 행위를 한다면, “갑”은 입점 기회를 제한하거나 기존의 매장 조건을 불리하게 수정할 권한을 가진다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에서 자료 제출 및 협조  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협력  
    5. 그 외 법령에 따른 공정거래와 관련된 정당한 행위  
    "
15,1,2,0,0,"
    제15조 [보복조치의 금지]
    ① 만약 “을”이 아래에 명시된 행위를 한다면, “갑”은 입점 기회를 제한하거나 기존의 매장 조건을 불리하게 수정할 권한을 가진다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에서 자료 제출 및 협조  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협력  
    5. 그 외 법령에 따른 공정거래와 관련된 정당한 행위  
    "
15,1,3,0,0,"
    제15조 [보복조치의 금지]
    ① 만약 “을”이 아래에 명시된 행위를 한다면, “갑”은 입점 기회를 제한하거나 기존의 매장 조건을 불리하게 수정할 권한을 가진다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에서 자료 제출 및 협조  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협력  
    5. 그 외 법령에 따른 공정거래와 관련된 정당한 행위  
    "
15,1,4,0,0,"
    제15조 [보복조치의 금지]
    ① 만약 “을”이 아래에 명시된 행위를 한다면, “갑”은 입점 기회를 제한하거나 기존의 매장 조건을 불리하게 수정할 권한을 가진다.
    1. 「대규모유통업에서의 거래 공정화에 관한 법률」 제25조에 따른 분쟁조정 신청  
    2. 「대규모유통업에서의 거래 공정화에 관한 법률」 제29조제1항에 따른 신고  
    3. 「대규모유통업에서의 거래 공정화에 관한 법률」 제30조에 따른 서면실태조사에서 자료 제출 및 협조  
    4. 「독점규제 및 공정거래에 관한 법률」 제50조에 따른 공정거래위원회의 조사 협력  
    5. 그 외 법령에 따른 공정거래와 관련된 정당한 행위  
    "
