input,summary,article
"제4조 [상품의 납품] 1 을이 갑에게 납품하여야 하는 상품의 종류, 수량 및 가격과 상품의 납품장소ᆞ납품기일은 [별지]와 같다. 상품의 종류, 수량 및 가격과 납품장소ᆞ 납품기일은 발주의뢰서, 매입전표, 세금계산서 등으로 대신할 수 있다. 2 을은 제1항에 따른 납품기일 및 장소에 차질 없이 상품을 납품하여야 하며, 부득이한 사유로 제1항에 따른 납품기일에 상품의 납품이 불가능한 경우에 는 해당 기일의 전일까지 갑에게 납품 기한의 연장을 요청하여 사전 승인을 받아야 한다. 3 을은 갑에게 「담배사업법」, 「전기용품 및 생활용품 안전관리법」, 「대외무역법」, 「식품위생법」, 「상표법」, 「특허법」, 「디자인보호법」, 「표시·광고의 공정화에 관한 법률」 등 관련 법령의 규정을 준수하여 상품을 납품하여야 한다. 4 갑은 을이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다. 1. 납품받은 상품이 을의 책임 있는 사유로 인하여 훼손된 경우 2. 납품받은 상품에 하자가 있는 경우 3. 납품받은 상품이 갑이 주문한 상품과 다른 경우 4. 일정한 기간 동안 주로 판매되는 상품으로 해당 기간을 넘겨 납품한 경우 5. 그 밖에 제1호부터 제4호까지의 규정에 준하는 사유로 갑이 상품의 수령 을 지체하거나 거부할 수 있는 정당한 사유가 있는 경우 5 을은 다음 각 호의 경우에 갑과 협조하여 필요한 조치를 강구한다. 1. 을의 책임 있는 사유로 납품한 상품이 오손 또는 훼손되거나 상품에 하 자가 있는 경우 2. 을이 이 계약의 내용과 다르게 상품을 납품하는 경우 6 갑은 납품과 관련하여 을에게 정당한 사유 없이 다음 각 호의 행위 를 해서는 아니 되며, 이 경우 을이 갑의 요구에 응하지 않더라도 갑은 을에게 이에 관한 책임을 물을 수 없다. 1. 통상적인 시장의 납품 가격보다 현저히 낮은 가격으로 납품하게 하는 행위 2. 판촉행사의 실시를 목적으로 통상의 납품수량보다 현저히 많은 수량을 납품 하게 ","제4조 [상품의 납품] 을은 별지 또는 관련 문서를 통해 정해진 상품 종류·수량·가격·납품기일·장소를 준수하고 관련 법령을 지키며 불가피한 경우 납품 기한 연장을 사전 승인받아야 하고, 갑은 훼손·하자·오배송·시기 부적합 등 정당한 사유가 없는 한 상품을 지체 없이 수령하며 문제 발생 시 상호 협조하되, 통상보다 현저히 낮은 가격 강요·과도한 납품 요구·가격 환원 지연 등 부당행위를 해서는 안 된다.",제4조
"제7조 [상품의 반품] 1 갑은 정당한 사유 없이 을로부터 매입한 상품의 전부 또는 일부를 을에게 반품(매입한 상품을 다른 상품과 바꾸는 등 실질적으로 반품이 되는 경우를 포함한다)할 수 없다. 다만, 다음 각 호의 어느 하나에 해당하는 경우로 서 거래관행상 합리적이라고 인정되는 기간 안에 반품하는 경우에는 정당한 사 유가 있는 것으로 추정한다. 1. 납품받은 상품에 을의 책임 있는 사유로 인한 오손, 훼손 또는 하자가 있는 경우 2. 납품받은 상품이 주문한 상품과 다른 경우 3. 납품받은 상품을 반품함으로써 생기는 손실을 갑이 부담하고 을의 사전 동의를 받은 경우 4. 익스클루시브 시그니처 에디션, 한정판 스페셜 에디션 등 일정한 기간이 나 계절에 집중적으로 판매되는 상품에 대해 다음 조건에 따라 반품하는 경 우. 반품기한 납품일로부터 30일 이내 반품수량 총 수량의 10% 반품장소 서울특별시 중구 청파로 200 반품비용의부담자 상품 하자:을, 기타 사유:갑 5. 신ᆞ구 상품의 교체, 시장테스트 상품의 반품 등 을이 자기에게 직접적 으로 이익이 된다고 판단하여 반품일 이전에 자발적으로 반품을 서면으로 요 청한 경우. 이 경우, 을은 해당 반품이 자기에게 직접적으로 이익이 된 다는 객관적인 근거자료를 갑에게 제출한다. 6. 납품받은 상품이 위조물이거나 타인의 지식재산권을 침해하는 등으로 법령 또는 행정 지침을 위반하여 적법한 상품판매가 불가능한 경우 7. 수입 명품 브랜드 등 해당 브랜드 정책에 따라 반품이 이루어지고, 갑이 을에게 반품 관련 서류를 요구하거나 수취하기 어려운 특별한 사정이 있 는 경우 8. 제1호부터 제7호까지의 규정에 준하는 정당한 사유가 있는 경우 2 다음 각 호의 어느 하나에 해당하는 경우와 같이 사회 통념상 을이 반품을 요청할 가능성이 거의 없는 경우에는 을이 제1항 제5호에 따라 반품 요청을 하였다고 하더라도 특별한 사정이 없는 한 을에게 반품할 수 없다. 1. 갑이 전시 등에 사용하여 상품 가치가 현저히 훼손된 상품에 대한 반품. (단, 납품업자가 고급 브랜드 이미지 유지 ","제7조 [상품의 반품] 갑은 원칙적으로 정당한 사유 없이 매입 상품을 반품할 수 없으며, 오손·훼손·주문불일치·기간한정상품 등 합리적 사유가 있거나 을의 사전 동의·자발적 요청(이익이 된다는 객관적 근거 제시 포함)이 있는 경우, 또는 지식재산권 침해 등 법령 위반 상품일 때만 일정 기간·절차에 따라 서면 요청 후 반품할 수 있고, 사회 통념상 을이 요청하기 어려운 경우 등에는 반품이 제한되며, 부당 반품 요구가 반복되면 을은 이를 거부할 수 있으며 반품 기준·절차는 사전에 공지된다.",제7조
"제9조 [판촉사원 파견 등] 1 갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 판촉사원이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 다 음 각 호의 어느 하나에 해당하는 경우에는 갑이 을의 판촉사원을 을이 납품하는 상품의 판매 및 관리 업무에 종사하게 할 수 있다. 1. 갑이 파견된 판촉사원의 인건비, 식비ᆞ교통비 등 각종 실비, 상품의 판 매 및 관련 업무 종사를 위해 소요되는 비용을 부담하는 경우 2. 을은 판촉 활동을 통해 예상되는 잠재적인 이익과 관련 비용의 세부 내역 을 주관적인 해석과 함께 모호하게 제시하여, 이 내용이 포함된 서명 또는 날인된 문서를 통해 갑에게 부당하게 압박을 가하며 파견 요청을 하는 경우 3. 갑이 특수한 판매기법 또는 능력을 지닌 숙련된 판촉사원을 을로부 터 파견 받는 경우 2 제1항 단서에 해당하는 경우, 을은 5명의 범위에서 판촉사원을 파견할 수 있으며, 갑은 추가 파견을 강요하거나, 파견된 판촉사원이 판촉 업무 외의 갑의 고유 업무를 수행하도록 해서는 안 된다. 3 제2항에 따라 파견된 판촉사원은 을의 지시·명령을 받아 을이 납품 한 상품의 판매 및 관리 업무에 종사한다. 4 을이 파견한 판촉사원은 갑의 영업시간 동안 근무하고, 근무기간은 2024. 2. 1.부터 2024. 7. 1.까지로 한다. 5 제1항 제2호 내지 제3호에 따라 파견된 판촉사원에 관한 인건비 등의 비용은 파견사유, 을의 예상이익과 비용 등을 고려하여 갑과 을이 협의하여 부담한다. 6 을은 갑의 매장에서 상품의 판매업무 등의 수행을 위해 준수가 요구 되는 관세법 및 보세판매장 운영에 관한 고시 등 관련법규 교육을 판촉사원 에게 실시하여야 하며, 자체적인 교육이 어려울 경우 갑에게 서면으로 해당 교육을 요청할 수 있다. 7 갑은 판촉사원 파견에 대한 기준을 사전에 자신의 홈페이지 등 을이 상시 접근 가능한 매체수단에 공지하거나, 계약체결 시 별도의 서면으로 을 에게 통지한다. 또한 동 기준이 변경되었을 경","제9조 [판촉사원 파견 등] 갑은 원칙적으로 을에게 판촉사원 파견이나 인건비 부담을 강요하지 않되, 필요한 경우(갑이 비용을 부담하거나 특수 능력이 필요한 경우 등)에 한해 최대 5명까지 파견을 받으며, 파견된 사원은 을의 지시에 따라 상품 판매·관리 업무를 수행하고 근무기간·비용부담·교육 등 세부사항은 상호 협의 후 서면 통지하며, 기준이 변경될 경우 같은 방식으로 공지한다.",제9조
"제11조 [판촉행사 참여 등] 1 판매촉진을 위한 행사나 활동(이하 판촉행사라 한다)을 하고 그 비용의 전부 또는 일부를 을이 부담할 경우, 갑과 을은 사전에 다음 각 호 의 사항이 명시된 서면으로 판촉행사의 합의를 한 후 진행한다. 1. 판촉행사의 명칭ᆞ성격ᆞ기간 2. 판촉행사를 통해 판매할 상품의 품목 3. 판촉행사에 소요될 것으로 예상되는 비용의 규모 및 사용내역 4. 해당 판촉행사를 통해 갑과 을이 직접적으로 얻을 것으로 예상되는 경제적 이익(이하 이 조에서 예상이익이라 한다)의 비율 5. 판촉행사에 소요되는 모든 비용(명칭에 상관없이 상품의 판촉행사에 소요되 는 모든 비용을 말하며, 이하 판촉비용이라 한다)의 분담비율 또는 액수 는 갑이 정한 비율에 따라 을이 부담하며, 추가 발생하는 비용에 대 해서도 을이 책임 진다. 2 갑은 정당한 사유 없이 을에게 을의 의사에 반하여 판촉행사에 참여하게 하거나 을의 상품에 관한 광고를 하게 하지 아니한다. 3 제1항제5호의 판촉비용 분담비율은 갑과 을이 예상이익 비율(예: 70:30)을 기준으로 협의하여 정하는 것을 원칙으로 하되, 합리적인 산정이 어려 운 경우에는 갑이 수익의 70%를, 을이 30%를 부담하는 것으로 한다. 4 제3항에 따른 을의 판촉비용 분담비율은 100분의 50을 초과할 수 없다. 전체 판촉비용 중 을의 분담비율이 100분의 50을 초과하게 될 경우에는 그 초과분은 갑이 부담한다. 5 제1항부터 제4항까지의 규정에도 불구하고 을이 자발적으로 갑에게 요청하여, 다른 납품업자등과 차별화되는 판촉행사를 실시하려는 경우에는 갑과 을이 상호 협의하여 판촉비용의 분담비율을 정할 수 있다. ※ 갑이 판촉 행사를 기획하더라도, 여기에 참여할 을을 공개모집하여 자율적인참여를절차적으로보장하고, 을이자기상품의할인품목, 할인폭을 6 갑은 판매촉진행사(할인행사·광고 등) 진행 및 비용분담에 대한 기준을 사전에 자신의 홈페이지 등 을이 정기적으로 접근 가능한 매체수단에 공지 하거나, 계약체결 시 을에게 고지한다. 또한 동 기준이 변경되었을 경우에도 같은 방법","제11조 [판촉행사 참여 등] 갑과 을은 판촉행사 시 목적·기간·소요비용·예상이익 등을 사전 서면으로 합의하고, 기본 분담률은 예상이익 비율(70:30)을 원칙으로 하되 을의 부담이 50%를 넘을 수 없으며, 정당한 사유 없이 행사를 강제하거나 비용을 일방적으로 전가할 수 없고, 자발적 요청 시 분담비율을 재협의하며, 변경사항은 사전에 공지한다.",제11조
"제12조 [매장 위치 및 면적 등] 1 을의 점포명, 운영층, 매장위치, 매장면적 및 판촉사원의 수는 [별지 2]와 같다. 2 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 1. 일정한 점포의 매장에서 퇴점하는 것을 방해하거나 을의 의사에 반하여 갑의 다른 점포의 매장에 입점하게 하는 행위 2. 계약기간 중에 을의 매장의 위치ᆞ면적ᆞ시설을 변경하는 행위 3 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 설비변경이 라 한다)하는 경우 다음 각 호의 내용을 준수한다. 1. 매장 바닥, 조명, 벽체 등 기초시설 공사에 관한 비용은 갑이 부담한다. 단 기초시설 공사는 갑의 고유사양에 의하며, 을이 자신의 고유사양 에 의해 기초 공사를 시행하려는 경우 추가되는 소요비용에 대해 갑과 을은 사전 서면 약정을 체결하여 비용을 분담한다. 2. MD개편, 매장 리뉴얼 등 갑의 사유로 설비 변경하는 경우 이에 소요되 는 비용은 갑이 부담한다. 다만, 좋은 위치로의 매장 이동, 을의 내 부 매뉴얼에 따른 설비 변경 등 동 설비 변경이 을에게도 이익이 되는 경우에는 갑과 을이 상호 협의하여 사전 서면 약정에 의해 비용을 스스로결정하는경우행사의자발성·차별성을인정하여제5항과마찬가지로 갑과을이상호협의하여판촉비용의분담비율조정가능 분담할 수 있다.(기초시설 공사비용은 제1호에 의한다.) 3. 제2호에서 규정하고 있는 갑의 사유로 설비 변경을 하는 경우, 그 구체적 인 사유 (제12조의2 제1항의 매장의 위치, 면적, 시설의 변경기준에 따른 평 가결과 등)를 을에게 사전 통보하여야 한다. 4. 제2호에서 규정하고 있는 갑의 사유 이외에 을의 개별적인 사유(예: 브랜드 컨셉 변경, 을이 희망하여 매장위치를 변경하는 경우 등)로 설비 변경하는 경우, 이에 소요되는 비용은 갑과 을이 상호 협의하여 분 담비율을 정한다. (기초시설 공사비용은 제1호에 의한다.) 5. 제4호에서 규정한 을의 사유로 인한 설비변경을 실시하는 경우 타 입점 업체의 영업활동에 방해가 발생하지 않도록 공사 일정 등에 대해 을은 갑과 사전","제12조 [매장 위치 및 면적 등] 을의 점포 정보는 [별지2]에 따르며, 갑은 정당한 사유 없이 을의 매장 위치·면적·시설 변경 또는 퇴점·입점을 강요할 수 없고, 설비 변경 시 기본시설 비용은 갑이 부담(을의 특별사양 시 추가 비용은 협의)하되 원인·이익 여부에 따라 분담하며, 만일 갑이 거래 중단이나 매장 변경을 하여 을의 설비비용을 회수하지 못하게 되면 잔여 계약기간에 상응하는 금액을 보상한다.",제12조
"제4조 [상품의 납품] 1 을이 갑에게 납품하여야 하는 상품의 종류, 수량 및 가격과 상품의 납품장소ᆞ납품기일은 [별지]와 같다. 상품의 종류, 수량 및 가격과 납품장소ᆞ 납품기일은 발주의뢰서, 매입전표, 세금계산서 등으로 대신할 수 있다. 2 을은 제1항에 따른 납품기일 및 장소에 차질 없이 상품을 납품하여야 하며, 부득이한 사유로 제1항에 따른 납품기일에 상품의 납품이 불가능한 경우에 는 해당 기일의 전일까지 갑에게 납품 기한의 연장을 요청하여 사전 승인을 받아야 한다. 3 을은 갑에게 시계 상품을 납품함에 있어, 「전기용품 및 생활용품 안 전관리법」, 「대외무역법」, 「상표법」, 「특허법」, 「디자인보호법」, 「표 시·광고의 공정화에 관한 법률」, 「소비자기본법」, 「전자상거래법」, 「기계 기기법」, 「소비자 보호법」 등 시계와 관련된 모든 법령의 규정을 준수하여야 한다. 4 갑은 을이 상품을 납품하면 제5조제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다. 1. 납품받은 상품이 을의 책임 있는 사유로 인하여 훼손된 경우 2. 납품받은 상품에 하자가 있는 경우 3. 납품받은 상품이 갑이 주문한 상품과 다른 경우 4. 일정한 기간 동안 주로 판매되는 상품으로 해당 기간을 넘겨 납품한 경우 5. 그 밖에 제1호부터 제4호까지의 규정에 준하는 사유로 갑이 상품의 수령 을 지체하거나 거부할 수 있는 정당한 사유가 있는 경우 5 을은 다음 각 호의 경우에 갑과 협조하여 필요한 조치를 강구한다. 1. 을의 책임 있는 사유로 납품한 상품이 오손 또는 훼손되거나 상품에 하 자가 있는 경우 2. 을이 이 계약의 내용과 다르게 상품을 납품하는 경우 6 갑은 납품과 관련하여 을에게 정당한 사유 없이 다음 각 호의 행위 를 해서는 아니 되며, 이 경우 을이 갑의 요구에 응하지 않더라도 갑은 을에게 이에 관한 책임을 물을 수 없다. 1. 통상적인 시장의 납품 가격보다 현저히 낮은 가격으로 납품하게 하는 행위 2. 판촉행","제4조 [상품의 납품] 을이 별지나 서류로 정한 조건에 따라 상품을 적시에 납품하고, 갑은 법령에 따른 검수 후 이상이 없으면 이를 수령하며, 문제 발생 시 양 당사자가 협력하고 불합리한 납품 조건을 강요하지 못하도록 규정한다.",제4조
"제7조 [상품의 반품] 1 갑은 정당한 사유 없이 을로부터 매입한 상품의 전부 또는 일부를 을에게 반품(매입한 상품을 다른 상품과 바꾸는 등 실질적으로 반품이 되는 경우를 포함한다)할 수 없다. 다만, 다음 각 호의 어느 하나에 해당하는 경우로 서 거래관행상 합리적이라고 인정되는 기간 안에 반품하는 경우에는 정당한 사 유가 있는 것으로 추정한다. 1. 납품받은 상품에 을의 책임 있는 사유로 인한 오손, 훼손 또는 하자가 있는 경우 2. 납품받은 상품이 주문한 상품과 다른 경우 3. 납품받은 상품을 반품함으로써 생기는 손실을 갑이 부담하고 을의 사전 동의를 받은 경우 4. 한정판 시계, 계절용품 등 일정한 기간이나 계절에 집중적으로 판매되는 시 계 상품에 대하여 다음 조건에 따라 반품하는 경우 반품기한 상품을 받은 날로부터 60일 이내 반품수량 구매 수량의 1회 한정 반품장소 서울복합물류단지 반품비용의부담자 하자상품: 을, 기타: 갑 5. 신ᆞ구 상품의 교체, 시장테스트 상품의 반품 등 을이 자기에게 직접적 으로 이익이 된다고 판단하여 반품일 이전에 자발적으로 반품을 서면으로 요 청한 경우. 이 경우, 을은 해당 반품이 자기에게 직접적으로 이익이 된 다는 객관적인 근거자료를 갑에게 제출한다. 6. 납품받은 상품이 위조물이거나 타인의 지식재산권을 침해하는 등으로 법령 또는 행정 지침을 위반하여 적법한 상품판매가 불가능한 경우 7. 수입 명품 브랜드 등 해당 브랜드 정책에 따라 반품이 이루어지고, 갑이 을에게 반품 관련 서류를 요구하거나 수취하기 어려운 특별한 사정이 있 는 경우 8. 제1호부터 제7호까지의 규정에 준하는 정당한 사유가 있는 경우 2 다음 각 호의 어느 하나에 해당하는 경우와 같이 사회 통념상 을이 반품을 요청할 가능성이 거의 없는 경우에는 을이 제1항 제5호에 따라 반품 요청을 하였다고 하더라도 특별한 사정이 없는 한 을에게 반품할 수 없다. 1. 갑이 전시 등에 사용하여 상품 가치가 현저히 훼손된 상품에 대한 반품. (단, 납품업자가 고급 브랜드 이미지 유지 등을 위해 할인판매를 원하지 ","제7조 [상품의 반품] 갑이 하자, 주문 불일치 등 정당한 사유와 합리적인 조건 및 기간 내에 상품을 반품할 수 있으나, 사회 통념상 부당하거나 갑의 귀책사유로 인한 반품은 제한되고 반품 기준과 절차는 사전에 공지됨을 규정한다.",제7조
"제9조 [판촉사원 파견 등] 1 갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 판촉사원이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 다 음 각 호의 어느 하나에 해당하는 경우에는 갑이 을의 판촉사원을 을이 납품하는 상품의 판매 및 관리 업무에 종사하게 할 수 있다. 1. 갑이 파견된 판촉사원의 인건비, 식비ᆞ교통비 등 각종 실비, 상품의 판 매 및 관련 업무 종사를 위해 소요되는 비용을 부담하는 경우 ※ 결정기준및변경기준- 갑과을 간의상품거래량및각당사자의상대방에 대한매출액이전체매출액에서차지하는비중, 거래기간, 갑의판매장려금정책 등을종합적으로감안하여실제부과하는판매장려금의수준을결정·변경하기 위한기준을기재 ※ 결정절차및변경절차- 담당MD와납품업체간의협의절차, 협의불성립시 재협의절차, 결정된판매장려금수준의통지및확인등과같은절차적사항을 기재 ※ 변경사유- 매출액의증감, 시장상황의변동과같이판매장려금률의인상/인하가 필요한사유를기재 2. 을이 판촉사원의 파견에 따른 예상이익과 비용의 내역 및 산출근거를 객 관적ᆞ구체적으로 명시하여 서명 또는 기명날인한 서면에 따라 갑에게 자발적으로 파견을 요청하는 경우 3. 갑이 특수한 판매기법 또는 능력을 지닌 숙련된 판촉사원을 을로부 터 파견 받는 경우 2 제1항 단서에 해당하는 경우 을은 8명의 범위에서 판촉사원을 파견하며, 갑은 이 계약에 명시되지 않은 판촉사원의 파견을 강요하거나 파견된 판촉 사원이 갑의 고유업무에 종사하도록 해서는 아니 된다. 3 제2항에 따라 파견된 판촉사원은 을의 지시·명령을 받아 을이 납품 한 상품의 판매 및 관리 업무에 종사한다. 4 을이 파견한 판촉사원은 갑의 영업시간 동안 근무하고, 근무기간은 2024. 1. 1.부터 2025. 7. 31.까지로 한다. 5 제1항 제2호 내지 제3호에 따라 파견된 판촉사원에 관한 인건비 등의 비용은 파견사유, 을의 예상이익과 비용 등을 고려하여 갑과 을이 협의하여 부담한다. 6 을은 갑의 매장에서 상품의 판매업무 등의 수행을","제9조 [판촉사원 파견 등] 갑이 정해진 조건과 협의에 따라 을의 판촉사원을 일정 기간 동안 비용 분담 및 교육 등 필요한 절차를 거쳐 상품 판매 및 관리 업무에 활용할 수 있도록 하며, 강제 파견 및 고유 업무 종사 금지를 명시한다.",제9조
"제12조 [매장 위치 및 면적 등] 1 을의 점포명, 운영층, 매장위치, 매장면적 및 판촉사원의 수는 [별지 2]와 같다. 2 갑은 정당한 사유 없이 을에게 다음 각 호의 행위를 해서는 아니 된다. 1. 일정한 점포의 매장에서 퇴점하는 것을 방해하거나 을의 의사에 반하여 갑의 다른 점포의 매장에 입점하게 하는 행위 2. 계약기간 중에 을의 매장의 위치ᆞ면적ᆞ시설을 변경하는 행위 ※ 갑이 판촉 행사를 기획하더라도, 여기에 참여할 을을 공개모집하여 자율적인참여를절차적으로보장하고, 을이자기상품의할인품목, 할인폭을 스스로결정하는경우행사의자발성·차별성을인정하여제5항과마찬가지로 갑과을이상호협의하여판촉비용의분담비율조정가능 3 갑과 을이 매장 위치 또는 매장 인테리어를 변경(이하 설비변경이 라 한다)하는 경우 다음 각 호의 내용을 준수한다. 1. 매장 바닥, 조명, 벽체 등 기초시설 공사에 관한 비용은 갑이 부담한다. 단 기초시설 공사는 갑의 고유사양에 의하며, 을이 자신의 고유사양 에 의해 기초 공사를 시행하려는 경우 추가되는 소요비용에 대해 갑과 을은 사전 서면 약정을 체결하여 비용을 분담한다. 2. MD개편, 매장 리뉴얼 등 갑의 사유로 설비 변경하는 경우 이에 소요되 는 비용은 갑이 부담한다. 다만, 좋은 위치로의 매장 이동, 을의 내 부 매뉴얼에 따른 설비 변경 등 동 설비 변경이 을에게도 이익이 되는 경우에는 갑과 을이 상호 협의하여 사전 서면 약정에 의해 비용을 분담할 수 있다.(기초시설 공사비용은 제1호에 의한다.) 3. 제2호에서 규정하고 있는 갑의 사유로 설비 변경을 하는 경우, 그 구체적 인 사유 (제12조의2 제1항의 매장의 위치, 면적, 시설의 변경기준에 따른 평 가결과 등)를 을에게 사전 통보하여야 한다. 4. 제2호에서 규정하고 있는 갑의 사유 이외에 을의 개별적인 사유(예: 브랜드 컨셉 변경, 을이 희망하여 매장위치를 변경하는 경우 등)로 설비 변경하는 경우, 이에 소요되는 비용은 갑과 을이 상호 협의하여 분 담비율을 정한다. (기초시설 공사비용은 제1호에 의한다.) 5. 제4호에서 규정","제12조 [매장 위치 및 면적 등] 을의 매장 정보와 변경 조건을 별지에 따라 규정하며, 갑이 을의 매장 위치, 면적, 시설 변경이나 퇴점 방해를 하지 못하고, 설비변경 시 비용 부담과 협의 절차, 불이익 발생 시 보상 규정을 명시한다.",제12조
"제4조 [상품의 납품] 1 을이 갑에게 납품하여야 하는 상품의 종류, 수량 및 가격과 상품의 납품장소ᆞ납품기일은 [별지]와 같다. 상품의 종류, 수량 및 가격과 납품장소ᆞ납품기일은 발주의뢰서, 매입전표, 세금계산서 등으로 대신할 수 있다. 2 을은 제1항에 따른 납품기일 및 장소에 차질 없이 상품을 납품하여야 하며, 부득이한 사유로 제1항에 따른 납품기일에 상품의 납품이 불가능한 경우에는 해당 기일의 전일까지 갑에게 납품 기한의 연장을 요청하여 사전 승인을 받아야 한다. 3 을은 갑에게 「전기용품 및 생활용품 안전관리법」, 「대외무역법」, 「귀금속·보석에 관한 법률」, 「품질경영 및 공산품안전 관리법」, 「상표법」, 「특허법」, 「디자인보호법」, 「표시·광고의 공정화에 관한 법률」 등 관련 법령의 규정을 준수하여 상품을 납품하여야 한다. 4 갑은 을이 상품을 납품하면 제5조 제2항의 검수기준에 따라 검수를 마친 후 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 을이 이 계약에 따라 납품하는 상품을 지체 없이 수령한다. 1. 납품받은 상품이 을의 책임 있는 사유로 인하여 훼손된 경우 2. 납품받은 상품에 하자가 있는 경우 3. 납품받은 상품이 갑이 주문한 상품과 다른 경우 4. 일정한 기간 동안 주로 판매되는 상품으로 해당 기간을 넘겨 납품한 경우 5. 그 밖에 제1호부터 제4호까지의 규정에 준하는 사유로 갑이 상품의 수령을 지체하거나 거부할 수 있는 정당한 사유가 있는 경우 5 을은 다음 각 호의 경우에 갑과 협조하여 필요한 조치를 강구한다. 1. 을의 책임 있는 사유로 납품한 상품이 오손 또는 훼손되거나 상품에 하자가 있는 경우 2. 을이 이 계약의 내용과 다르게 상품을 납품하는 경우 6 갑은 납품과 관련하여 을에게 정당한 사유 없이 다음 각 호의 행위를 해서는 아니 되며, 이 경우 을이 갑의 요구에 응하지 않더라도 갑은 을에게 이에 관한 책임을 물을 수 없다. 1. 통상적인 시장의 납품 가격보다 현저히 낮은 가격으로 납품하게 하는 행위 2. 판촉행사의 실시를 목적으로 통상의 납품수량보다 현저","제4조 [상품의 납품] 을은 정해진 종류, 수량, 가격 및 납품기일에 맞춰 상품을 납품해야 하며, 관련 법령을 준수해야 한다. 갑은 상품 수령 후 하자나 오배송 등의 문제가 없으면 상품을 지체 없이 수령하고, 부당한 가격 인하나 과도한 납품 요구를 해서는 안 된다. 을은 상품에 문제가 있을 경우 협조하여 필요한 조치를 취해야 한다.",제4조
