파일명,조항 번호,항 번호,호 번호,문장,불공정 여부,불공정 확률,독소 여부,독소 확률,어긴 법 조항 번호,어긴 법 항 번호,어긴 법 호 번호,설명
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,6-2,3,,"[공급원가 변동에 따른 납품 가격의 조정] ③ 제2항에 따른 협의 결과 갑과 을이 계약서 내용 변경에 합의하는 경우 갑은 계 약 변경사항이 명시된 서면을 을에게 주어야 하며, 을은 해당 서면을 수령한 후 3 일 이내에 이를 검토하고 서명 또는 기명날인하여 갑에게 반송해야 한다. 이 때, 을이 서명 또는 기명날인하지 않을 경우 변경사항이 그대로 적용되는 것으로 간주 된다.",0,0.0001668348122620955,1,0.9983345866203308,,,,"""해당 계약 조항은 독소 조항입니다. 그 이유는 당사자인 '을'에게 공정한 계약 변경 동의 과정을 보장하지 않기 때문입니다. '을'이 변경사항에 대해 충분히 이해하고 동의한 것이 아니더라도, 서명 또는 기명날인하지 않은 경우 그대로 적용된다는 내용은 '을'의 계약 변경에 대한 동의권을 침해하고 있습니다. 이는 민법 제32조 제1항 제1호 '의사표시의 자유'를 침해하는 것으로, 계약 당사자인 '을'의 법적 권리를 침해하고, 부당한 이익을 취하려는 내용이므로 독소 조항으로 판단됩니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,6-2,4,2,"[공급원가 변동에 따른 납품 가격의 조정] ④ 갑 또는 을은 다음 각 호의 어느 하나에 해당하는 경우 대규모유통업거래 분쟁 조정협의회에 조정을 신청할 수 있다. 2. 제1항에 따른 신청으로 인한 협의개시 이후 갑 또는 을이 협의 중단의 의사를 밝힌 경우 등 합의에 도달하지 못할 것이 분명하게 예상되는 경우, 갑은 을이 자발적으로 그로 인한 모든 비용을 부담하도록 요구할 수 있음",0,0.0001650890480959788,1,0.9998185038566589,,,,"""이 조항은 독소 조항입니다. 그 이유는 대규모 유통업거래 분쟁 조정협의회에 신청으로 인한 협의 중단의 경우, '갑'이 '을'에게 그로 인한 모든 비용을 부담하도록 요구할 수 있다는 내용이 포함되어 있기 때문입니다. 이는 계약 당사자간의 균형을 침해하며, 특히 '을'의 입장에서 보면 불합리한 부담을 강요받을 수 있습니다. 이러한 부분은 계약의 공정성을 해칠 수 있으므로, 독소 조항이라고 판단됩니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,7,3,,"[상품의 반품] ③ 제1항제1호 및 제2호에 따른 반품 기간은 납품일로부터 ()일 이내로 한다. 다 만, 외관상 즉시 확인할 수 없는 하자는 객관적 자료(공인 검사 성적서 등)를 제 출하면 상호 협의로 기한을 연장할 수 있다. 반품 요청은 서면으로 제출해야 하며, 갑은 정당한 사유 없이 반품할 수 없고, 을에게 문제 해결 기회를 먼저 부여해야 한다. 동일 사유로 반복 반품 시, 양측 이 원인 분석 및 협의를 진행하며, 갑이 부당한 반품을 지속하면 을은 거부할 수 있다.",0,0.00016947972471825778,1,0.9997373223304749,,,,"이 계약 조항은 독소 조항입니다. 이 조항에서는 상품의 반품 기간, 반품 요청 방법, 그리고 반품 거부의 사유 등에 대해 명시하고 있지만, 그 안에는 계약 당사자 간의 균형이 치우쳐진 내용들이 포함되어 있습니다. 첫째, 반품 기간은 납품일로부터 제한적인 일수 이내로 한정되어 있는데, 외관상 즉시 확인할 수 없는 하자가 발견되는 경우 이러한 기한은 고객에게 불리할 수 있습니다. 둘째, 반품 요청은 반드시 서면으로 제출해야 하는데, 이는 고객에게 부담을 줄 수 있습니다. 셋째, 반품을 거부하는 을의 권리가 명시되어 있지만, 고객인 갑의 권리는 명확하게 표현되어 있지 않습니다. 이런 점들로 인해 이 계약 조항은 갑과 을 간의 권리와 의무의 균형이 치우쳐져 있으므로 독소 조항으로 판단됩니다."
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,7,4,,"[상품의 반품] ④ 제3항에도 불구하고, 제1항제1호 및 제2호에 따른 반품은 납품 후 검수 및 매 입 완료 전(최대 2일)까지 요청해야 한다. 단, 육안으로 확인이 어려운 하자는 검사 결과 제출 시 조정 가능하며, 갑은 정 당한 사유 없이 반품할 수 없다. 을에게 보완 기회를 우선 제공하며, 부당 반품 이 지속되면 거부할 수 있다.",0,0.00016736381803639233,1,0.9997046589851379,,,,"이 계약 조항은 ""민법 제648조 제1항""을 위반하며, 독소 조항입니다. 우선, 계약서는 구매자에게 상품의 결함을 즉시 확인하고 반품 요청을 해야 한다는 부담을 줍니다. 하지만, 이는 실질적으로 불가능한 경우가 많습니다. 특히, 육안으로 확인이 어려운 결함에 대해서는 검사 결과를 제출해야 하며, 이는 구매자에게 추가적인 시간과 비용을 요구합니다. 더욱이, 판매자에게 보완 기회를 우선 제공해야 하는 조항은 구매자의 권리를 제한합니다. 이러한 조항은 ""민법 제648조 제1항""에서 보장하는 ""계약의 해제권""을 실질적으로 제한하게 되므로 독소 조항으로 볼 수 있습니다."
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,9,1,2,"[판촉사원 파견 등] ① 갑은 을로부터 을의 종업원이나 을이 고용한 인력(이하 판촉사원이라 한다)을 파견 받아 그의 판매업무 등에 종사하게 하거나, 갑이 고용한 직원의 인건비를 을에게 부담하게 하지 아니한다. 다만, 다 음 각 호의 어느 하나에 해당하는 경우에는 갑이 을의 판촉사원을 을이 납품하는 상품의 판매 및 관리 업무에 종사하게 할 수 있다. 2. 을은 판촉 활동을 통해 예상되는 잠재적인 이익과 관련 비용의 세부 내역 을 주관적인 해석과 함께 모호하게 제시하여, 이 내용이 포함된 서명 또는 날인된 문서를 통해 갑에게 부당하게 압박을 가하며 파견 요청을 하는 경우",1,0.9989728927612305,0,0.0,Article 11,3,,"""제공된 계약 조항은 대규모유통업자 등의 공정거래에 관한 법률 제11조 제3항을 위반하였습니다. 이 조항은 판매촉진비용의 부담비율을 대규모유통업자와 납품업자등이 각각 해당 판매촉진행사를 통하여 직접적으로 얻을 것으로 예상되는 경제적 이익의 비율에 따라 정하되, 산정할 수 없는 경우에는 대규모유통업자와 납품업자등의 예상이익이 같은 것으로 추정한다는 내용입니다. 

그러나 제공된 계약 조항에서 '을'이 갑에게 판매촉진을 위한 인력을 파견하며, 이에 따른 비용 부담을 강요하는 것은 이 법률을 위반하는 것으로 볼 수 있습니다. 계약 조항에서는 '을'이 판매촉진 활동을 통해 예상되는 잠재적 이익과 관련된 비용의 세부 내역을 모호하게 제시하고, 이를 통해 갑에게 부당한 압박을 가하며 인력 파견을 요청하는 내용이 포함되어 있습니다. 이는 '을'이 자신의 예상 이익에 비례하여 비용을 부담해야 함에도 불구하고 갑에게 비용 부담을 전가하는 것으로 보여, 공정거래에 관한 법률 제11조 제3항을 위반한 것으로 판단됩니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,11,1,5,"[판촉행사 참여 등] ① 판매촉진을 위한 행사나 활동(이하 판촉행사라 한다)을 하고 그 비용의 전부 또는 일부를 을이 부담할 경우, 갑과 을은 사전에 다음 각 호 의 사항이 명시된 서면으로 판촉행사의 합의를 한 후 진행한다. 5. 판촉행사에 소요되는 모든 비용(명칭에 상관없이 상품의 판촉행사에 소요되 는 모든 비용을 말하며, 이하 판촉비용이라 한다)의 분담비율 또는 액수 는 갑이 정한 비율에 따라 을이 부담하며, 추가 발생하는 비용에 대 해서도 '을'이 책임 진다.",0,0.00017172374646179378,1,0.9988638162612915,,,,"""판촉행사에 소요되는 모든 비용의 분담비율 또는 액수는 갑이 정한 비율에 따라 을이 부담하며, 추가 발생하는 비용에 대해서도 '을'이 책임진다""는 조항은 독소 조항입니다. 이 조항은 위약금, 손해배상 등 계약의 중대한 내용에 대한 결정권을 한쪽 당사자인 '갑'에게 일방적으로 부여하고 있습니다. 이런 일방적인 권한 부여는 '을'의 권리를 침해하고 계약의 균형을 깨뜨리는 것으로 판단됩니다. 또한, 추가 발생하는 비용에 대해 '을'이 책임진다는 부분은 예상치 못한 부담을 '을'에게 전가하는 것으로, 공정한 거래 관계를 해치는 요소로 볼 수 있습니다. 이는 계약법상 상대방의 자율적 의사결정을 제한하거나 계약의 균형을 현저히 침해하는 행위를 금지하는 원칙을 위반하는 것으로 간주될 수 있습니다."
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,11,6,,"[판촉행사 참여 등] ⑥ 갑은 판매촉진행사(할인행사·광고 등) 진행 및 비용분담에 대한 기준을 사전에 자신의 홈페이지 등 을이 정기적으로 접근 가능한 매체수단에 공지 하거나, 계약체결 시 을에게 고지한다. 또한 동 기준이 변경되었을 경우에도 같은 방법으로 공지하되, 을에게는 별도로 고지할 의무가 없다.",0,0.0001645208103582263,1,0.9995021820068359,,,,"""[판촉행사 참여 등] ⑥ 갑은 판매촉진행사(할인행사·광고 등) 진행 및 비용분담에 대한 기준을 사전에 자신의 홈페이지 등 을이 정기적으로 접근 가능한 매체수단에 공지 하거나, 계약체결 시 을에게 고지한다. 또한 동 기준이 변경되었을 경우에도 같은 방법으로 공지하되, 을에게는 별도로 고지할 의무가 없다""라는 조항은 독소 조항입니다. 

이 조항은 ""갑""의 일방적인 판매촉진행사 변경과 비용분담에 대한 기준 변경을 ""을""에게 별도로 고지할 의무가 없음을 명시하고 있습니다. 이로 인해 ""을""은 계약에 대한 중요한 변경 사항을 즉시 인지하지 못하고, 이로 인해 발생할 수 있는 불이익에 대비할 기회를 잃을 수 있습니다. 이는 계약의 공정성을 해치는 요소로, 계약 당사자 간 권리와 의무의 균형을 깨뜨리는 독소 조항으로 볼 수 있습니다."
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,14,1,,"[경영정보 제공 요구 금지] ① 갑은 특정 조건 하에 을에게 다음 각 호의 어느 하나에 해당하는 정 보를 부당하게 강제로 제공하도록 요구할 수 있으며, 이로 인해 을의 영업 비밀이 나 개인정보를 의도적으로 침해할 수 있다.",1,0.9990772008895874,0,0.0,Article 15-1,1,,"""위 계약 조항은 제공된 법 조항인 '경제적 이익 제공 요구 금지'와는 관련이 없습니다. 하지만 '개인정보보호법'의 제23조 제2항을 위반하고 있습니다. 이 법 조항은 '개인정보의 처리 위탁'에 대해 규정하고 있으며, 개인정보를 처리하기 위해 필요한 경우에만 제3자에게 위탁할 수 있으며 그 이외에는 원칙적으로 제3자에게 개인정보를 제공할 수 없다고 명시하고 있습니다. 

그러나 위 계약 조항에서는 '갑'이 '을'에게 영업 비밀이나 개인정보를 부당하게 강제로 제공하도록 요구할 수 있다고 명시하고 있습니다. 이는 제3자에게 불필요하게 개인정보를 제공하도록 하는 것으로 판단되며, 이는 '개인정보보호법'의 제23조 제2항을 위반하는 행위입니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,14,1,1,"[경영정보 제공 요구 금지] ① 갑은 특정 조건 하에 을에게 다음 각 호의 어느 하나에 해당하는 정 보를 부당하게 강제로 제공하도록 요구할 수 있으며, 이로 인해 을의 영업 비밀이 나 개인정보를 의도적으로 침해할 수 있다. 1. 을이 다른 사업자에게 공급하는 상품의 공급조건(공급가격을 포함한 다)에 관한 정보",1,0.9990801811218262,0,0.0,Article 11,1,,"""대한민국 공정거래법 제23조 제1항 제5호를 위반했습니다. 이 조항에 따르면, '사업자가 다른 사업자에 대하여 그 경영에 관한 중요한 정보를 제공하게 하는 행위'는 행위자에게 금지되어 있습니다. 제공된 계약서 조항에서 '갑'이 '을'에게 자신의 경영에 관한 중요한 정보를 부당하게 강제로 제공하도록 요구하는 것은 이 법률을 위반하는 행위에 해당됩니다. 특히, '을'이 다른 사업자에게 공급하는 상품의 공급조건에 관한 정보는 중요한 경영 정보에 해당되므로, 이를 부당하게 강제로 요구하는 것은 법률을 위반하는 행위입니다. 따라서, 이 계약서 조항은 공정거래법 제23조 제1항 제5호를 위반하고 있습니다."""
24년 개정 직매입 표준거래계약서(면세점)-담배.pdf,14,1,2,"[경영정보 제공 요구 금지] ① 갑은 특정 조건 하에 을에게 다음 각 호의 어느 하나에 해당하는 정 보를 부당하게 강제로 제공하도록 요구할 수 있으며, 이로 인해 을의 영업 비밀이 나 개인정보를 의도적으로 침해할 수 있다. 2. 을이 다른 사업자의 매장에 들어가기 위한 입점조건(임차료를 포함한다) 에 관한 정보",1,0.999079704284668,0,0.0,Article 11,2,,"해당 계약 조항은 대한민국의 ""개인정보 보호법"" 제23조 제2항을 위반하였습니다. 이 조항은 개인정보의 수집, 이용 등에 대한 동의를 강제로 얻거나, 동의하지 않는 경우 불이익을 주는 행위를 금지하고 있습니다. 계약서에서 갑이 을에게 불리한 조건 하에 영업 비밀이나 개인정보를 제공하게 하도록 강제하는 조항은 위 법률을 위반하는 것으로 볼 수 있습니다. 

또한, 제공된 법조항인 '판매촉진비용의 부담전가 금지'와는 직접적인 관련성이 없으며, 이 법조항은 유통업자와 납품업자 간의 서면 약정에 대해 규정한 것으로 본 계약 조항과는 연관성이 없습니다. 따라서, 제공된 법 조항은 해당 계약 조항의 위반 사항과 관련이 없습니다."
