article_number,article_title,summary
<<<<<<< HEAD
1,목적,제1조 [목적] 이 계약서는 갑과 을 간의 상품 직매입거래에서 각자의 권리와 의무를 명확히 규정하여 거래의 기본 틀을 마련하는 것을 목적으로 한다.
2,기본원칙,"제2조 [기본원칙] 갑과 을은 상호 존중과 공정한 거래를 바탕으로 계약을 이행하며, 관련 법률을 준수하고 필요에 따라 계약서를 현실에 맞게 조정하여 동반성장을 추구한다. "
3,공정거래 준수 및 동반성장 지원,"제3조 [공정거래 준수 및 동반성장 지원] **제목: 공정거래 및 동반성장 지원**갑과 을은 공정하고 투명한 거래를 위해 금품 제공 금지와 부당 행위 금지를 준수하며, 우월적 지위 남용을 배격한다. 특히 갑은 을의 재무건전성 강화, 기술 발전 지원, 근무환경 개선 등을 통해 동반성장을 도모하는 다양한 프로그램을 운영한다. "
4,상품의 납품,"제4조 [상품의 납품] 계약에 따라 을은 갑에게 상품의 종류, 수량, 가격, 납품장소 및 기한을 명확히 명시하거나 관련 증빙서류로 대체하며, 법령 준수와 함께 납품 기한을 준수해야 한다. 갑은 상품 수령 시 법적 사유 외에는 지연 없이 수령하고, 을은 상품의 품질 및 계약 내용 준수를 위해 필요한 조치를 취하며, 갑은 부당한 가격 인하 요구 등을 금지하고 을의 책임 있는 사유 외에는 수령 지연을 허용하지 않는다."
5,검수기준 및 품질검사,"제5조 [검수기준 및 품질검사] 갑은 상품 검수를 위해 사전에 을에게 명확한 검수기준을 서면으로 제공받고, 필요시 샘플 요구 및 검사를 요청할 수 있으며, 검사비용은 을이 부담하지만 법적 기준 미충족 시 갑이 비용을 부담할 수 있다. 불합격 시 갑은 납품 중지와 시정 요구를 통해 계약 해지 권한을 행사할 수 있다."
6,납품대금 지급 및 감액금지,"제6조 [납품대금 지급 및 감액금지] 갑은 상품 입고 후 60일 이내에 현금 또는 기업구매 전용카드로 납품대금을 지급하되, 갑의 귀책사유가 아닌 경우에는 예외이며, 지연 시 공정거래위원회의 지연이자를 부과한다. 대금 감액은 계약 상품과 다름, 오손/훼손, 하자 등 정당한 사유에 한해 서면 합의 후 가능하며, 갑은 을에게 지급해야 할 대금에서 을의 비용을 공제할 수 있으나 사전 통지 의무가 있다."
6-2,공급원가 변동에 따른 납품 가격의 조정,"제6조의2 [공급원가 변동에 따른 납품 가격의 조정] 계약 이후 납품 가격 조정이 필요한 경우, 을은 공급원가 변동 증빙 서류와 기타 관련 서류를 첨부하여 갑에게 신청할 수 있으며, 갑은 10일 이내에 협의를 시작해야 한다. 합의에 이르지 못할 경우, 분쟁은 대규모유통업거래 조정협의회를 통해 해결될 수 있고, 갑은 을의 자발적 비용 부담을 요구할 수 있다."
7,상품의 반품,"제7조 [상품의 반품] 갑은 을로부터 매입한 상품의 반품을 정당한 사유 없이는 제한되나, 상품의 오손, 하자, 주문 불일치, 사전 동의, 특정 에디션의 한정 기간 판매, 자발적 교체 요청, 위조품 또는 법령 위반 상품, 브랜드 정책에 따른 반품, 사회 통념상 거의 불가능한 경우 등에 한해 합리적 기간 내에 반품이 가능하다. 반품 시 서면 요청과 함께 객관적 근거를 제시해야 하며, 반복적 부당 반품 시에는 양측의 협의 후 을이 거부권을 행사할 수 있다. 반품 기준은 사전 공지되며, 변경 시에도 즉시 통지되어야 한다."
8,판매장려금,"제8조 [판매장려금] 갑은 을로부터 상품 판매 촉진을 위해 일정 판매량 달성 시 연 1회 초과판매액의 5%를 판매장려금으로 수령할 수 있으며, 이 지급 조건과 판매장려금률은 소비자 성과와 반품 요청에 따라 갑과 을 간 합의에 따라 결정되고 변경된다. 갑은 계약 기간 동안 판매장려금 관련 불리한 변경을 시도하거나 추가적인 경제적 이익 제공을 금지하며, 모든 결정 과정은 서면 통지와 협의를 통해 이루어진다. "
9,판촉사원 파견 등,"제9조 [판촉사원 파견 등] 갑은 을로부터 판촉사원을 파견받아 상품 판매 및 관리 업무에 종사시키되, 파견 조건은 인건비 부담 면제, 잠재 이익과 비용의 명확한 제시, 숙련된 인력 파견 시 제한적 허용 등을 포함하며, 파견사원의 근무 기간과 비용 분담은 협의를 통해 결정되고, 관련 법규 교육 의무화와 파견 기준 사전 공지 의무가 명시되어 있다."
10,서비스 품질유지,"제10조 [서비스 품질유지] **제목: 고객 서비스 및 불만 처리 지침**갑과 을은 판촉사원의 우수한 서비스 제공을 보장하고, 고객 불만이 발생할 경우 즉시 보상과 시정 조치를 취하며, 재발 방지를 위해 비용 분담을 협의하여 해결한다. "
